t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319780,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319810,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319840,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319870,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319900,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319930,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320110,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320140,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320170,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320200,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320230,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320260,1,0.005465,0.013536,0.003197,0.001096,events/second
1685320290,1,0.004695,0.008210,0.002893,0.001060,events/second
1685320320,1,0.004115,0.004980,0.002618,0.001025,events/second
1685320350,1,0.003663,0.003020,0.002369,0.000992,events/second
1685320380,1,0.003300,0.001832,0.002143,0.000959,events/second
1685320410,1,0.003003,0.001111,0.001939,0.000928,events/second
1685320440,2,0.005509,0.000674,0.001755,0.000897,events/second
1685320470,2,0.005088,0.010951,0.004629,0.001945,events/second
1685320500,2,0.004727,0.006642,0.004189,0.001882,events/second
1685320530,2,0.004414,0.004029,0.003790,0.001820,events/second
1685320560,2,0.004140,0.002443,0.003429,0.001760,events/second
1685320590,2,0.003898,0.001482,0.003103,0.001703,events/second
1685320620,2,0.003682,0.000899,0.002808,0.001647,events/second
1685320650,2,0.003490,0.000545,0.002541,0.001593,events/second
1685320680,2,0.003316,0.000331,0.002299,0.001541,events/second
1685320710,2,0.003159,0.000201,0.002080,0.001490,events/second
1685320740,2,0.003016,0.000122,0.001882,0.001441,events/second
1685320770,2,0.002885,0.000074,0.001703,0.001394,events/second
1685320800,2,0.002765,0.000045,0.001541,0.001348,events/second
1685320830,2,0.002655,0.000027,0.001394,0.001304,events/second
1685320860,2,0.002553,0.000016,0.001262,0.001261,events/second
1685320890,2,0.002459,0.000010,0.001142,0.001220,events/second
1685320920,2,0.002372,0.000006,0.001033,0.001180,events/second
1685320950,3,0.003435,0.011462,0.004027,0.002225,events/second
1685320980,3,0.003321,0.006952,0.003644,0.002152,events/second
1685321010,3,0.003214,0.004217,0.003297,0.002081,events/second
1685321040,3,0.003114,0.002557,0.002983,0.002013,events/second
1685321070,3,0.003020,0.001551,0.002699,0.001947,events/second
1685321100,3,0.002932,0.000941,0.002443,0.001883,events/second
1685321130,3,0.002848,0.000571,0.002210,0.001822,events/second
1685330370,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330400,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330430,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330460,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330490,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330520,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330550,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330580,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330610,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330640,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330670,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330700,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330730,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330760,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330790,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330820,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330850,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330880,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330910,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330940,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330970,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331000,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331030,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331060,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331090,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331120,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331150,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331180,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331210,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331240,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331270,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331301,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331331,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331361,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331391,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331421,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331451,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331481,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331511,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331541,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331571,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331601,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331631,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331661,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331691,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331721,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331751,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331781,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331811,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331841,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331871,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331901,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331931,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331961,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331991,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332021,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332051,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332081,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332111,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332141,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332171,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332201,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332231,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332261,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332291,0,0.000000,0.000000,0.000000,0.000000,events/second
