t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1685319750,6,118,65.833333,35,31.492327,58.500000,93.250000,118.000000,118.000000,118.000000,118.000000
1685319780,10,194,65.300000,2,57.205380,54.500000,93.250000,194.000000,194.000000,194.000000,194.000000
1685319810,12,194,55.083333,2,56.987173,45.000000,80.500000,194.000000,194.000000,194.000000,194.000000
1685319840,16,194,41.937500,2,54.171910,20.500000,65.000000,194.000000,194.000000,194.000000,194.000000
1685319870,18,194,37.833333,2,52.269944,6.000000,61.000000,194.000000,194.000000,194.000000,194.000000
1685319900,22,194,31.454545,1,49.030338,4.500000,52.250000,182.600000,194.000000,194.000000,194.000000
1685319930,32,194,25.687500,1,44.256902,3.000000,38.750000,144.600000,194.000000,194.000000,194.000000
1685320110,9,189,68.666667,19,53.082483,50.000000,95.000000,189.000000,189.000000,189.000000,189.000000
1685320140,17,189,37.647059,2,50.588958,19.000000,58.000000,189.000000,189.000000,189.000000,189.000000
1685320170,21,189,30.952381,2,47.408307,4.000000,49.500000,180.200000,189.000000,189.000000,189.000000
1685320200,29,189,24.413793,1,41.821489,3.000000,30.000000,145.000000,189.000000,189.000000,189.000000
1685320230,34,434,33.941176,1,80.811018,3.000000,29.500000,250.250000,434.000000,434.000000,434.000000
1685320260,44,434,26.750000,1,72.055897,3.000000,17.750000,167.000000,434.000000,434.000000,434.000000
1685320290,47,434,25.212766,1,69.922919,3.000000,14.000000,153.800000,434.000000,434.000000,434.000000
1685320320,55,434,21.872727,1,65.054409,2.000000,6.000000,118.600000,404.600000,434.000000,434.000000
1685320350,58,434,20.810345,1,63.485447,2.000000,6.000000,105.400000,389.900000,434.000000,434.000000
1685320380,64,434,19.000000,1,60.652798,2.000000,5.500000,98.000000,360.500000,434.000000,434.000000
1685320410,69,434,17.855072,1,58.530604,2.000000,6.000000,95.000000,336.000000,434.000000,434.000000
1685320440,85,434,16.952941,1,53.751613,2.000000,5.000000,84.800000,257.600000,434.000000,434.000000
1685320470,89,434,16.269663,1,52.611951,2.000000,4.000000,82.000000,238.000000,434.000000,434.000000
1685320500,97,434,15.010309,1,50.548758,2.000000,4.000000,76.400000,198.800000,434.000000,434.000000
1685320530,101,434,14.455446,1,49.603533,2.000000,4.000000,74.100000,185.480000,429.100000,434.000000
1685320560,110,434,13.400000,1,47.645133,2.000000,3.250000,70.050000,169.640000,407.050000,434.000000
1685320590,118,434,12.559322,1,46.093836,2.000000,3.000000,66.450000,155.560000,387.450000,434.000000
1685320620,125,434,11.912000,1,44.853348,1.000000,3.000000,63.900000,143.240000,370.300000,434.000000
1685320650,129,434,11.573643,1,44.187770,1.000000,3.000000,62.500000,136.200000,360.500000,434.000000
1685320680,136,434,11.044118,0,43.088173,1.000000,3.000000,60.050000,123.880000,343.350000,434.000000
1685320710,140,434,10.764286,0,42.495300,1.000000,3.000000,58.800000,116.840000,333.550000,434.000000
1685320740,147,434,10.340136,0,41.508787,1.000000,3.000000,57.400000,104.520000,316.400000,434.000000
1685320770,151,434,10.079470,0,40.982358,1.000000,3.000000,56.600000,100.520000,306.600000,434.000000
1685320800,159,434,9.603774,0,39.985285,1.000000,2.000000,55.000000,98.600000,287.000000,434.000000
1685320830,163,434,9.386503,0,39.512512,1.000000,2.000000,54.000000,97.640000,277.200000,434.000000
1685320860,171,434,8.994152,0,38.612936,1.000000,2.000000,52.000000,95.720000,257.600000,434.000000
1685320890,175,434,8.811429,0,38.185480,1.000000,2.000000,51.000000,94.760000,247.800000,434.000000
1685320920,183,434,8.475410,0,37.370115,1.000000,2.000000,49.800000,92.840000,228.200000,434.000000
1685320950,194,434,8.092784,0,36.325410,1.000000,2.000000,49.250000,90.200000,201.250000,434.000000
1685320980,206,25232,131.101942,0,1757.762850,1.000000,2.000000,57.600000,99.320000,416.850000,25232.000000
1685321010,218,25232,139.362385,0,1721.621602,1.000000,2.000000,66.450000,155.560000,2703.620000,25232.000000
1685321040,231,25232,132.034632,0,1672.541731,1.000000,2.000000,69.600000,132.680000,2339.360000,25232.000000
1685321070,235,25232,129.800000,0,1658.272211,1.000000,2.000000,67.800000,125.640000,2227.280000,25232.000000
1685321100,243,25232,125.547325,0,1630.795970,1.000000,2.000000,64.600000,111.560000,2003.120000,25232.000000
1685321130,255,25232,120.219608,0,1591.995818,1.000000,2.000000,67.800000,101.000000,1666.880000,25232.000000
1685330370,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330400,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330430,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330460,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330490,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330520,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330550,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330580,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330610,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330640,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330670,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330700,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
1685330730,6,68,44.000000,24,19.152023,41.500000,65.000000,68.000000,68.000000,68.000000,68.000000
