t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,6,0.396183,0.088275,0.019506,0.006611,events/second
1685319780,10,0.220934,0.109436,0.030499,0.010784,events/second
1685319810,12,0.159397,0.093449,0.033991,0.012622,events/second
1685319840,16,0.151945,0.111578,0.043553,0.016592,events/second
1685319870,18,0.133018,0.094748,0.045803,0.018239,events/second
1685319900,22,0.133061,0.112366,0.054241,0.022025,events/second
1685319930,32,0.163807,0.223155,0.081919,0.032359,events/second
1685320110,9,0.275303,0.121826,0.028776,0.009862,events/second
1685320140,17,0.270245,0.183688,0.051631,0.018306,events/second
1685320170,21,0.225993,0.165557,0.059507,0.022089,events/second
1685320200,29,0.235886,0.210213,0.079437,0.030131,events/second
1685320230,34,0.222279,0.194099,0.087811,0.034616,events/second
1685320260,44,0.240474,0.252141,0.111334,0.044428,events/second
1685320290,47,0.220674,0.193540,0.110331,0.046259,events/second
1685320320,55,0.226345,0.224730,0.125316,0.053497,events/second
1685320350,58,0.212448,0.176914,0.122983,0.055030,events/second
1685320380,64,0.211204,0.189652,0.130474,0.059801,events/second
1685320410,69,0.207184,0.183887,0.134098,0.063326,events/second
1685320440,85,0.234132,0.272118,0.159560,0.074381,events/second
1685320470,89,0.226428,0.261361,0.169331,0.080637,events/second
1685320500,97,0.229278,0.268320,0.178810,0.086760,events/second
1685320530,101,0.222920,0.216889,0.174583,0.088299,events/second
1685320560,110,0.227700,0.253801,0.186707,0.095261,events/second
1685320590,118,0.229972,0.253915,0.194099,0.100855,events/second
1685320620,125,0.230150,0.247813,0.197915,0.105208,events/second
1685320650,129,0.225076,0.204451,0.191870,0.106142,events/second
1685320680,136,0.225479,0.222345,0.196112,0.110345,events/second
1685320710,140,0.221108,0.189004,0.190238,0.111111,events/second
1685320740,147,0.221654,0.208442,0.194422,0.115127,events/second
1685320770,151,0.217828,0.180571,0.188710,0.115736,events/second
1685320800,159,0.219847,0.219319,0.196344,0.120708,events/second
1685320830,163,0.216400,0.187169,0.190449,0.121134,events/second
1685320860,171,0.218322,0.223320,0.197918,0.125930,events/second
1685320890,175,0.215183,0.189595,0.191873,0.126184,events/second
1685320920,183,0.217011,0.224792,0.199156,0.130815,events/second
1685320950,194,0.222151,0.279659,0.215066,0.138543,events/second
1685320980,206,0.228052,0.338269,0.233197,0.147176,events/second
1685321010,218,0.233574,0.368696,0.246826,0.154478,events/second
1685321040,231,0.239792,0.396674,0.267178,0.164646,events/second
1685321070,235,0.236575,0.294740,0.254542,0.163632,events/second
1685321100,243,0.237455,0.288566,0.255912,0.167034,events/second
1685321130,255,0.242083,0.357098,0.270794,0.174806,events/second
1685330370,6,0.313925,0.000000,0.000000,0.000000,events/second
1685330400,6,0.121577,0.063252,0.018248,0.006466,events/second
1685330430,6,0.075594,0.038364,0.016512,0.006254,events/second
1685330460,6,0.054854,0.023269,0.014941,0.006049,events/second
1685330490,6,0.043043,0.014113,0.013519,0.005851,events/second
1685330520,6,0.035417,0.008560,0.012232,0.005659,events/second
1685330550,6,0.030088,0.005192,0.011068,0.005473,events/second
1685330580,6,0.026151,0.003149,0.010015,0.005294,events/second
1685330610,6,0.023126,0.001910,0.009062,0.005120,events/second
1685330640,6,0.020728,0.001159,0.008200,0.004953,events/second
1685330670,6,0.018780,0.000703,0.007419,0.004790,events/second
1685330700,6,0.017167,0.000426,0.006713,0.004633,events/second
1685330730,6,0.015810,0.000258,0.006074,0.004481,events/second
1685330760,6,0.014651,0.000157,0.005496,0.004334,events/second
1685330790,6,0.013651,0.000095,0.004973,0.004192,events/second
1685330820,6,0.012778,0.000058,0.004500,0.004055,events/second
1685330850,6,0.012010,0.000035,0.004072,0.003922,events/second
1685330880,6,0.011329,0.000021,0.003684,0.003793,events/second
1685330910,6,0.010722,0.000013,0.003334,0.003669,events/second
1685330940,6,0.010176,0.000008,0.003016,0.003549,events/second
1685330970,6,0.009683,0.000005,0.002729,0.003432,events/second
1685331000,6,0.009236,0.000003,0.002470,0.003320,events/second
1685331030,6,0.008828,0.000002,0.002235,0.003211,events/second
1685331060,6,0.008455,0.000001,0.002022,0.003106,events/second
1685331090,6,0.008112,0.000001,0.001830,0.003004,events/second
1685331120,6,0.007795,0.000000,0.001655,0.002905,events/second
1685331150,6,0.007503,0.000000,0.001498,0.002810,events/second
1685331180,6,0.007231,0.000000,0.001355,0.002718,events/second
1685331210,6,0.006979,0.000000,0.001226,0.002629,events/second
1685331240,6,0.006743,0.000000,0.001110,0.002543,events/second
1685331270,6,0.006523,0.000000,0.001004,0.002459,events/second
1685331301,6,0.006317,0.000000,0.000909,0.002379,events/second
1685331331,10,0.010206,0.025990,0.007164,0.004486,events/second
1685331361,12,0.011883,0.066273,0.019067,0.008698,events/second
1685331391,16,0.015387,0.065104,0.023542,0.010593,events/second
1685331421,18,0.016825,0.089997,0.033886,0.014604,events/second
1685331451,22,0.020003,0.079494,0.036951,0.016305,events/second
1685331481,24,0.021242,0.098724,0.046019,0.020130,events/second
