t,value
1685319750,0
1685319780,0
1685319810,0
1685319840,0
1685319870,0
1685319900,0
1685319930,0
1685320110,0
1685320140,0
1685320170,0
1685320200,0
1685320230,0
1685320260,3286
1685320290,3286
1685320320,3286
1685320350,3286
1685320380,3286
1685320410,3286
1685320440,3286
1685320470,3286
1685320500,3286
1685320530,3286
1685320560,3286
1685320590,3286
1685320620,3286
1685320650,3286
1685320680,3286
1685320710,3286
1685320740,3286
1685320770,3286
1685320800,3286
1685320830,3286
1685320860,3286
1685320890,3286
1685320920,3286
1685320950,3286
1685320980,3783
1685321010,3783
1685321040,3783
1685321070,3783
1685321100,3783
1685321130,3783
1685330370,3783
1685330400,3783
1685330430,3783
1685330460,3783
1685330490,3783
1685330520,3783
1685330550,3783
1685330580,3783
1685330610,3783
1685330640,3783
1685330670,3783
1685330700,3783
1685330730,3783
1685330760,3783
1685330790,3783
1685330820,3783
1685330850,3783
1685330880,3783
1685330910,3783
1685330940,3783
1685330970,3783
1685331000,3783
1685331030,3783
1685331060,3783
1685331090,3783
1685331120,3783
1685331150,3783
1685331180,3783
1685331210,3783
1685331240,3783
1685331270,3783
1685331301,3783
1685331331,3783
1685331361,3783
1685331391,3783
1685331421,3783
1685331451,3783
1685331481,3783
1685331511,3783
1685331541,3783
1685331571,3783
1685331601,3783
1685331631,3783
1685331661,3783
1685331691,3783
1685331721,3783
1685331751,3783
1685331781,3783
1685331811,3783
1685331841,3783
1685331871,3783
1685331901,3783
1685331931,3783
1685331961,3783
1685331991,3783
1685332021,3783
1685332051,3783
1685332081,3783
1685332111,3783
1685332141,3783
1685332171,3783
1685332201,3783
1685332231,3783
1685332261,3783
1685332291,3783
