t,value
1685319750,8
1685319780,8
1685319810,8
1685319840,8
1685319870,8
1685319900,8
1685319930,8
1685320110,8
1685320140,8
1685320170,8
1685320200,8
1685320230,8
1685320260,8
1685320290,8
1685320320,8
1685320350,8
1685320380,8
1685320410,8
1685320440,8
1685320470,8
1685320500,8
1685320530,8
1685320560,8
1685320590,8
1685320620,8
1685320650,8
1685320680,8
1685320710,8
1685320740,8
1685320770,8
1685320800,8
1685320830,8
1685320860,8
1685320890,8
1685320920,8
1685320950,8
1685320980,27977
1685321010,27977
1685321040,27977
1685321070,27977
1685321100,27977
1685321130,27977
1685330370,27977
1685330400,27977
1685330430,27977
1685330460,27977
1685330490,27977
1685330520,27977
1685330550,27977
1685330580,27977
1685330610,27977
1685330640,27977
1685330670,27977
1685330700,27977
1685330730,27977
1685330760,27977
1685330790,27977
1685330820,27977
1685330850,27977
1685330880,27977
1685330910,27977
1685330940,27977
1685330970,27977
1685331000,27977
1685331030,27977
1685331060,27977
1685331090,27977
1685331120,27977
1685331150,27977
1685331180,27977
1685331210,27977
1685331240,27977
1685331270,27977
1685331301,27977
1685331331,27977
1685331361,27977
1685331391,27977
1685331421,27977
1685331451,27977
1685331481,27977
1685331511,27977
1685331541,27977
1685331571,27977
1685331601,27977
1685331631,27977
1685331661,27977
1685331691,27977
1685331721,27977
1685331751,27977
1685331781,27977
1685331811,27977
1685331841,27977
1685331871,27977
1685331901,27977
1685331931,27977
1685331961,27977
1685331991,27977
1685332021,27977
1685332051,27977
1685332081,27977
1685332111,27977
1685332141,27977
1685332171,27977
1685332201,27977
1685332231,27977
1685332261,27977
1685332291,27977
