t,value
1685319750,0
1685319780,0
1685319810,0
1685319840,0
1685319870,0
1685319900,0
1685319930,0
1685320110,0
1685320140,0
1685320170,0
1685320200,0
1685320230,0
1685320260,1
1685320290,1
1685320320,1
1685320350,1
1685320380,1
1685320410,1
1685320440,1
1685320470,1
1685320500,1
1685320530,1
1685320560,1
1685320590,1
1685320620,1
1685320650,1
1685320680,1
1685320710,1
1685320740,1
1685320770,1
1685320800,1
1685320830,1
1685320860,1
1685320890,1
1685320920,1
1685320950,1
1685320980,24186
1685321010,24186
1685321040,24186
1685321070,24186
1685321100,24186
1685321130,24186
1685330370,24186
1685330400,24186
1685330430,24186
1685330460,24186
1685330490,24186
1685330520,24186
1685330550,24186
1685330580,24186
1685330610,24186
1685330640,24186
1685330670,24186
1685330700,24186
1685330730,24186
1685330760,24186
1685330790,24186
1685330820,24186
1685330850,24186
1685330880,24186
1685330910,24186
1685330940,24186
1685330970,24186
1685331000,24186
1685331030,24186
1685331060,24186
1685331090,24186
1685331120,24186
1685331150,24186
1685331180,24186
1685331210,24186
1685331240,24186
1685331270,24186
1685331301,24186
1685331331,24186
1685331361,24186
1685331391,24186
1685331421,24186
1685331451,24186
1685331481,24186
1685331511,24186
1685331541,24186
1685331571,24186
1685331601,24186
1685331631,24186
1685331661,24186
1685331691,24186
1685331721,24186
1685331751,24186
1685331781,24186
1685331811,24186
1685331841,24186
1685331871,24186
1685331901,24186
1685331931,24186
1685331961,24186
1685331991,24186
1685332021,24186
1685332051,24186
1685332081,24186
1685332111,24186
1685332141,24186
1685332171,24186
1685332201,24186
1685332231,24186
1685332261,24186
1685332291,24186
