t,value
1685319750,73728
1685319780,73728
1685319810,73728
1685319840,73728
1685319870,73728
1685319900,73728
1685319930,73728
1685320110,869066
1685320140,869066
1685320170,869066
1685320200,869066
1685320230,869066
1685320260,869066
1685320290,869066
1685320320,869066
1685320350,869066
1685320380,869066
1685320410,869066
1685320440,869066
1685320470,869066
1685320500,869066
1685320530,869066
1685320560,869066
1685320590,869066
1685320620,869066
1685320650,869066
1685320680,869066
1685320710,869066
1685320740,869066
1685320770,869066
1685320800,869066
1685320830,869066
1685320860,869066
1685320890,869066
1685320920,869066
1685320950,869066
1685320980,869066
1685321010,869066
1685321040,869066
1685321070,869066
1685321100,869066
1685321130,869066
1685330370,2966225
1685330400,2966225
1685330430,2966225
1685330460,2966225
1685330490,2966225
1685330520,2966225
1685330550,2966225
1685330580,2966225
1685330610,2966225
1685330640,2966225
1685330670,2966225
1685330700,2966225
1685330730,2966225
1685330760,2966225
1685330790,2966225
1685330820,2966225
1685330850,2966225
1685330880,2966225
1685330910,2966225
1685330940,2966225
1685330970,2966225
1685331000,2966225
1685331030,2966225
1685331060,2966225
1685331090,2966225
1685331120,2966225
1685331150,2966225
1685331180,2966225
1685331210,2966225
1685331240,2966225
1685331270,2966225
1685331301,2966225
1685331331,2966225
1685331361,2966225
1685331391,2966225
1685331421,2966225
1685331451,2966225
1685331481,2966225
1685331511,2966225
1685331541,2966225
1685331571,2966225
1685331601,2966225
1685331631,2966225
1685331661,2966225
1685331691,2966225
1685331721,2966225
1685331751,2966225
1685331781,2966225
1685331811,2966225
1685331841,2966225
1685331871,2966225
1685331901,2966225
1685331931,2966225
1685331961,2966225
1685331991,2966225
1685332021,2966225
1685332051,2966225
1685332081,2966225
1685332111,2966225
1685332141,2966225
1685332171,2966225
1685332201,2966225
1685332231,2966225
1685332261,2966225
1685332291,2966225
