t,value
1685319750,73856
1685319780,73856
1685319810,73856
1685319840,73856
1685319870,73856
1685319900,73856
1685319930,73856
1685320110,872888
1685320140,872888
1685320170,872888
1685320200,872888
1685320230,872888
1685320260,872888
1685320290,872888
1685320320,872888
1685320350,872888
1685320380,872888
1685320410,872888
1685320440,872888
1685320470,872888
1685320500,872888
1685320530,872888
1685320560,872888
1685320590,872888
1685320620,872888
1685320650,872888
1685320680,873200
1685320710,873200
1685320740,873200
1685320770,873200
1685320800,873200
1685320830,873200
1685320860,873200
1685320890,873200
1685320920,873200
1685320950,873200
1685320980,873200
1685321010,873200
1685321040,873200
1685321070,873200
1685321100,873200
1685321130,873200
1685330370,7407328
1685330400,7407328
1685330430,7407328
1685330460,7407328
1685330490,7407328
1685330520,7407328
1685330550,7407328
1685330580,7407328
1685330610,7407328
1685330640,7407328
1685330670,7407328
1685330700,7407328
1685330730,7407328
1685330760,7407328
1685330790,7407328
1685330820,7407328
1685330850,7407328
1685330880,7407328
1685330910,7407328
1685330940,7407328
1685330970,7407328
1685331000,7407328
1685331030,7407328
1685331060,7407328
1685331090,7407328
1685331120,7407328
1685331150,7407328
1685331180,7407328
1685331210,7407328
1685331240,7407328
1685331270,7407328
1685331301,7407328
1685331331,7407328
1685331361,7407328
1685331391,7407328
1685331421,7407328
1685331451,7407328
1685331481,7407328
1685331511,7407328
1685331541,7407328
1685331571,7407328
1685331601,7407328
1685331631,7407328
1685331661,7407328
1685331691,7407328
1685331721,7407328
1685331751,7407328
1685331781,7407328
1685331811,7407328
1685331841,7407328
1685331871,7407328
1685331901,7407328
1685331931,7407328
1685331961,7407328
1685331991,7407328
1685332021,7407328
1685332051,7407328
1685332081,7407328
1685332111,7407328
1685332141,7407328
1685332171,7407328
1685332201,7407328
1685332231,7407328
1685332261,7407328
1685332291,7407328
