t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,2,0.132976,0.000000,0.000000,0.000000,events/second
1685319780,6,0.132876,0.000000,0.000000,0.000000,events/second
1685319810,8,0.106417,0.000000,0.000000,0.000000,events/second
1685319840,12,0.114075,0.000000,0.000000,0.000000,events/second
1685319870,14,0.103541,0.000000,0.000000,0.000000,events/second
1685319900,18,0.108939,0.000000,0.000000,0.000000,events/second
1685319930,22,0.112680,0.000000,0.000000,0.000000,events/second
1685320110,3,0.092498,0.000000,0.000000,0.000000,events/second
1685320140,11,0.175605,0.000000,0.000000,0.000000,events/second
1685320170,15,0.161886,0.000000,0.000000,0.000000,events/second
1685320200,23,0.187486,0.000000,0.000000,0.000000,events/second
1685320230,28,0.183371,0.000000,0.000000,0.000000,events/second
1685320260,41,0.224403,0.000000,0.000000,0.000000,events/second
1685320290,44,0.206846,0.000000,0.000000,0.000000,events/second
1685320320,52,0.214232,0.000000,0.000000,0.000000,events/second
1685320350,55,0.201655,0.000000,0.000000,0.000000,events/second
1685320380,61,0.201481,0.000000,0.000000,0.000000,events/second
1685320410,66,0.198334,0.000000,0.000000,0.000000,events/second
1685320440,82,0.226034,0.000000,0.000000,0.000000,events/second
1685320470,86,0.218943,0.000000,0.000000,0.000000,events/second
1685320500,94,0.222327,0.000000,0.000000,0.000000,events/second
1685320530,98,0.216426,0.000000,0.000000,0.000000,events/second
1685320560,107,0.221612,0.000000,0.000000,0.000000,events/second
1685320590,115,0.224241,0.000000,0.000000,0.000000,events/second
1685320620,122,0.224737,0.000000,0.000000,0.000000,events/second
1685320650,126,0.219943,0.000000,0.000000,0.000000,events/second
1685320680,133,0.220602,0.000000,0.000000,0.000000,events/second
1685320710,137,0.216461,0.000000,0.000000,0.000000,events/second
1685320740,144,0.217218,0.000000,0.000000,0.000000,events/second
1685320770,148,0.213582,0.000000,0.000000,0.000000,events/second
1685320800,156,0.215779,0.000000,0.000000,0.000000,events/second
1685320830,160,0.212492,0.000000,0.000000,0.000000,events/second
1685320860,168,0.214565,0.000000,0.000000,0.000000,events/second
1685320890,172,0.211563,0.000000,0.000000,0.000000,events/second
1685320920,180,0.213521,0.000000,0.000000,0.000000,events/second
1685320950,191,0.218782,0.000000,0.000000,0.000000,events/second
1685320980,204,0.225904,0.000000,0.000000,0.000000,events/second
1685321010,227,0.243287,0.000000,0.000000,0.000000,events/second
1685321040,240,0.249204,0.000000,0.000000,0.000000,events/second
1685321070,244,0.245701,0.000000,0.000000,0.000000,events/second
1685321100,252,0.246314,0.000000,0.000000,0.000000,events/second
1685321130,258,0.244993,0.000000,0.000000,0.000000,events/second
1685330370,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330400,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330430,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330460,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330490,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330520,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330550,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330580,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330610,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330640,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330670,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330700,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330730,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330760,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330790,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330820,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330850,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330880,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330910,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330940,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330970,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331000,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331030,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331060,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331090,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331120,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331150,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331180,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331210,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331240,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331270,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331301,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331331,4,0.004084,0.000000,0.000000,0.000000,events/second
1685331361,6,0.005944,0.000000,0.000000,0.000000,events/second
1685331391,10,0.009621,0.000000,0.000000,0.000000,events/second
1685331421,12,0.011221,0.000000,0.000000,0.000000,events/second
1685331451,16,0.014553,0.000000,0.000000,0.000000,events/second
1685331481,18,0.015937,0.000000,0.000000,0.000000,events/second
1685331511,22,0.018974,0.000000,0.000000,0.000000,events/second
1685331541,24,0.020177,0.000000,0.000000,0.000000,events/second
1685331571,27,0.022140,0.000000,0.000000,0.000000,events/second
1685331601,30,0.024009,0.000000,0.000000,0.000000,events/second
1685331631,33,0.025791,0.000000,0.000000,0.000000,events/second
1685331661,36,0.027491,0.000000,0.000000,0.000000,events/second
1685331691,39,0.029115,0.000000,0.000000,0.000000,events/second
1685331721,42,0.030667,0.000000,0.000000,0.000000,events/second
1685331751,45,0.032153,0.000000,0.000000,0.000000,events/second
1685331781,48,0.033577,0.000000,0.000000,0.000000,events/second
1685331811,51,0.034942,0.000000,0.000000,0.000000,events/second
1685331841,54,0.036252,0.000000,0.000000,0.000000,events/second
1685331871,56,0.036852,0.000000,0.000000,0.000000,events/second
1685331901,60,0.038719,0.000000,0.000000,0.000000,events/second
1685331931,62,0.039250,0.000000,0.000000,0.000000,events/second
1685331961,71,0.044110,0.000000,0.000000,0.000000,events/second
1685331991,76,0.046352,0.000000,0.000000,0.000000,events/second
1685332021,80,0.047915,0.000000,0.000000,0.000000,events/second
1685332051,82,0.048246,0.000000,0.000000,0.000000,events/second
1685332081,86,0.049721,0.000000,0.000000,0.000000,events/second
1685332111,88,0.050009,0.000000,0.000000,0.000000,events/second
1685332141,92,0.051406,0.000000,0.000000,0.000000,events/second
1685332171,94,0.051657,0.000000,0.000000,0.000000,events/second
1685332201,98,0.052981,0.000000,0.000000,0.000000,events/second
1685332231,100,0.053200,0.000000,0.000000,0.000000,events/second
1685332261,104,0.054458,0.000000,0.000000,0.000000,events/second
1685332291,109,0.056193,0.000000,0.000000,0.000000,events/second
