t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,3,0.199354,0.000000,0.000000,0.000000,events/second
1685319780,3,0.066438,0.000000,0.000000,0.000000,events/second
1685319810,3,0.039907,0.000000,0.000000,0.000000,events/second
1685319840,3,0.028519,0.000000,0.000000,0.000000,events/second
1685319870,3,0.022187,0.000000,0.000000,0.000000,events/second
1685319900,3,0.018157,0.000000,0.000000,0.000000,events/second
1685319930,3,0.015365,0.000000,0.000000,0.000000,events/second
1685320110,3,0.092437,0.000000,0.000000,0.000000,events/second
1685320140,3,0.047892,0.000000,0.000000,0.000000,events/second
1685320170,3,0.032377,0.000000,0.000000,0.000000,events/second
1685320200,3,0.024455,0.000000,0.000000,0.000000,events/second
1685320230,3,0.019647,0.000000,0.000000,0.000000,events/second
1685320260,6,0.032840,0.000000,0.000000,0.000000,events/second
1685320290,6,0.028206,0.000000,0.000000,0.000000,events/second
1685320320,6,0.024719,0.000000,0.000000,0.000000,events/second
1685320350,6,0.021999,0.000000,0.000000,0.000000,events/second
1685320380,6,0.019818,0.000000,0.000000,0.000000,events/second
1685320410,6,0.018030,0.000000,0.000000,0.000000,events/second
1685320440,6,0.016539,0.000000,0.000000,0.000000,events/second
1685320470,6,0.015275,0.000000,0.000000,0.000000,events/second
1685320500,6,0.014191,0.000000,0.000000,0.000000,events/second
1685320530,6,0.013251,0.000000,0.000000,0.000000,events/second
1685320560,6,0.012427,0.000000,0.000000,0.000000,events/second
1685320590,6,0.011700,0.000000,0.000000,0.000000,events/second
1685320620,6,0.011053,0.000000,0.000000,0.000000,events/second
1685320650,6,0.010473,0.000000,0.000000,0.000000,events/second
1685320680,6,0.009952,0.000000,0.000000,0.000000,events/second
1685320710,6,0.009480,0.000000,0.000000,0.000000,events/second
1685320740,6,0.009051,0.000000,0.000000,0.000000,events/second
1685320770,6,0.008659,0.000000,0.000000,0.000000,events/second
1685320800,6,0.008299,0.000000,0.000000,0.000000,events/second
1685320830,6,0.007968,0.000000,0.000000,0.000000,events/second
1685320860,6,0.007663,0.000000,0.000000,0.000000,events/second
1685320890,6,0.007380,0.000000,0.000000,0.000000,events/second
1685320920,6,0.007117,0.000000,0.000000,0.000000,events/second
1685320950,6,0.006873,0.000000,0.000000,0.000000,events/second
1685320980,8,0.008859,0.000000,0.000000,0.000000,events/second
1685321010,8,0.008574,0.000000,0.000000,0.000000,events/second
1685321040,8,0.008307,0.000000,0.000000,0.000000,events/second
1685321070,8,0.008056,0.000000,0.000000,0.000000,events/second
1685321100,8,0.007819,0.000000,0.000000,0.000000,events/second
1685321130,8,0.007597,0.000000,0.000000,0.000000,events/second
1685330370,8,0.426533,0.000000,0.000000,0.000000,events/second
1685330400,8,0.163389,0.000000,0.000000,0.000000,events/second
1685330430,8,0.101288,0.000000,0.000000,0.000000,events/second
1685330460,8,0.073400,0.000000,0.000000,0.000000,events/second
1685330490,8,0.057552,0.000000,0.000000,0.000000,events/second
1685330520,8,0.047332,0.000000,0.000000,0.000000,events/second
1685330550,8,0.040195,0.000000,0.000000,0.000000,events/second
1685330580,8,0.034927,0.000000,0.000000,0.000000,events/second
1685330610,8,0.030881,0.000000,0.000000,0.000000,events/second
1685330640,8,0.027674,0.000000,0.000000,0.000000,events/second
1685330670,8,0.025071,0.000000,0.000000,0.000000,events/second
1685330700,8,0.022915,0.000000,0.000000,0.000000,events/second
1685330730,8,0.021101,0.000000,0.000000,0.000000,events/second
1685330760,8,0.019554,0.000000,0.000000,0.000000,events/second
1685330790,8,0.018217,0.000000,0.000000,0.000000,events/second
1685330820,8,0.017051,0.000000,0.000000,0.000000,events/second
