t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,1,0.066430,0.000000,0.000000,0.000000,events/second
1685319780,1,0.022146,0.000000,0.000000,0.000000,events/second
1685319810,1,0.013302,0.000000,0.000000,0.000000,events/second
1685319840,1,0.009506,0.000000,0.000000,0.000000,events/second
1685319870,1,0.007396,0.000000,0.000000,0.000000,events/second
1685319900,1,0.006052,0.000000,0.000000,0.000000,events/second
1685319930,2,0.010244,0.000000,0.000000,0.000000,events/second
1685320110,2,0.061611,0.000000,0.000000,0.000000,events/second
1685320140,2,0.031928,0.000000,0.000000,0.000000,events/second
1685320170,2,0.021585,0.000000,0.000000,0.000000,events/second
1685320200,2,0.016303,0.000000,0.000000,0.000000,events/second
1685320230,2,0.013098,0.000000,0.000000,0.000000,events/second
1685320260,2,0.010946,0.000000,0.000000,0.000000,events/second
1685320290,2,0.009402,0.000000,0.000000,0.000000,events/second
1685320320,2,0.008240,0.000000,0.000000,0.000000,events/second
1685320350,2,0.007333,0.000000,0.000000,0.000000,events/second
1685320380,2,0.006606,0.000000,0.000000,0.000000,events/second
1685320410,2,0.006010,0.000000,0.000000,0.000000,events/second
1685320440,2,0.005513,0.000000,0.000000,0.000000,events/second
1685320470,2,0.005092,0.000000,0.000000,0.000000,events/second
1685320500,2,0.004730,0.000000,0.000000,0.000000,events/second
1685320530,2,0.004417,0.000000,0.000000,0.000000,events/second
1685320560,2,0.004142,0.000000,0.000000,0.000000,events/second
1685320590,2,0.003900,0.000000,0.000000,0.000000,events/second
1685320620,2,0.003684,0.000000,0.000000,0.000000,events/second
1685320650,2,0.003491,0.000000,0.000000,0.000000,events/second
1685320680,2,0.003317,0.000000,0.000000,0.000000,events/second
1685320710,2,0.003160,0.000000,0.000000,0.000000,events/second
1685320740,2,0.003017,0.000000,0.000000,0.000000,events/second
1685320770,2,0.002886,0.000000,0.000000,0.000000,events/second
1685320800,2,0.002766,0.000000,0.000000,0.000000,events/second
1685320830,2,0.002656,0.000000,0.000000,0.000000,events/second
1685320860,2,0.002554,0.000000,0.000000,0.000000,events/second
1685320890,2,0.002460,0.000000,0.000000,0.000000,events/second
1685320920,2,0.002372,0.000000,0.000000,0.000000,events/second
1685320950,2,0.002291,0.000000,0.000000,0.000000,events/second
1685320980,2,0.002215,0.000000,0.000000,0.000000,events/second
1685321010,6,0.006430,0.000000,0.000000,0.000000,events/second
1685321040,6,0.006230,0.000000,0.000000,0.000000,events/second
1685321070,6,0.006042,0.000000,0.000000,0.000000,events/second
1685321100,6,0.005865,0.000000,0.000000,0.000000,events/second
1685321130,6,0.005698,0.000000,0.000000,0.000000,events/second
1685330370,1,0.053291,0.000000,0.000000,0.000000,events/second
1685330400,1,0.020423,0.000000,0.000000,0.000000,events/second
1685330430,1,0.012661,0.000000,0.000000,0.000000,events/second
1685330460,1,0.009175,0.000000,0.000000,0.000000,events/second
1685330490,1,0.007194,0.000000,0.000000,0.000000,events/second
1685330520,1,0.005916,0.000000,0.000000,0.000000,events/second
1685330550,1,0.005024,0.000000,0.000000,0.000000,events/second
1685330580,1,0.004366,0.000000,0.000000,0.000000,events/second
1685330610,1,0.003860,0.000000,0.000000,0.000000,events/second
1685330640,1,0.003459,0.000000,0.000000,0.000000,events/second
1685330670,1,0.003134,0.000000,0.000000,0.000000,events/second
1685330700,1,0.002864,0.000000,0.000000,0.000000,events/second
1685330730,1,0.002638,0.000000,0.000000,0.000000,events/second
1685330760,1,0.002444,0.000000,0.000000,0.000000,events/second
1685330790,1,0.002277,0.000000,0.000000,0.000000,events/second
1685330820,1,0.002131,0.000000,0.000000,0.000000,events/second
1685330850,1,0.002003,0.000000,0.000000,0.000000,events/second
1685330880,1,0.001890,0.000000,0.000000,0.000000,events/second
1685330910,1,0.001788,0.000000,0.000000,0.000000,events/second
1685330940,1,0.001697,0.000000,0.000000,0.000000,events/second
1685330970,1,0.001615,0.000000,0.000000,0.000000,events/second
1685331000,1,0.001540,0.000000,0.000000,0.000000,events/second
1685331030,1,0.001472,0.000000,0.000000,0.000000,events/second
1685331060,1,0.001410,0.000000,0.000000,0.000000,events/second
1685331090,1,0.001353,0.000000,0.000000,0.000000,events/second
1685331120,1,0.001300,0.000000,0.000000,0.000000,events/second
1685331150,1,0.001251,0.000000,0.000000,0.000000,events/second
1685331180,1,0.001206,0.000000,0.000000,0.000000,events/second
1685331210,1,0.001164,0.000000,0.000000,0.000000,events/second
1685331240,1,0.001124,0.000000,0.000000,0.000000,events/second
1685331270,1,0.001088,0.000000,0.000000,0.000000,events/second
1685331301,1,0.001053,0.000000,0.000000,0.000000,events/second
1685331331,1,0.001021,0.000000,0.000000,0.000000,events/second
1685331361,1,0.000991,0.000000,0.000000,0.000000,events/second
1685331391,1,0.000962,0.000000,0.000000,0.000000,events/second
1685331421,1,0.000935,0.000000,0.000000,0.000000,events/second
1685331451,1,0.000910,0.000000,0.000000,0.000000,events/second
1685331481,1,0.000885,0.000000,0.000000,0.000000,events/second
1685331511,1,0.000862,0.000000,0.000000,0.000000,events/second
1685331541,1,0.000841,0.000000,0.000000,0.000000,events/second
1685331571,1,0.000820,0.000000,0.000000,0.000000,events/second
1685331601,1,0.000800,0.000000,0.000000,0.000000,events/second
1685331631,1,0.000782,0.000000,0.000000,0.000000,events/second
1685331661,1,0.000764,0.000000,0.000000,0.000000,events/second
1685331691,1,0.000747,0.000000,0.000000,0.000000,events/second
1685331721,1,0.000730,0.000000,0.000000,0.000000,events/second
1685331751,1,0.000715,0.000000,0.000000,0.000000,events/second
1685331781,1,0.000700,0.000000,0.000000,0.000000,events/second
1685331811,1,0.000685,0.000000,0.000000,0.000000,events/second
1685331841,1,0.000671,0.000000,0.000000,0.000000,events/second
1685331871,1,0.000658,0.000000,0.000000,0.000000,events/second
1685331901,1,0.000645,0.000000,0.000000,0.000000,events/second
1685331931,1,0.000633,0.000000,0.000000,0.000000,events/second
1685331961,2,0.001243,0.000000,0.000000,0.000000,events/second
1685331991,2,0.001220,0.000000,0.000000,0.000000,events/second
1685332021,2,0.001198,0.000000,0.000000,0.000000,events/second
1685332051,2,0.001177,0.000000,0.000000,0.000000,events/second
1685332081,2,0.001156,0.000000,0.000000,0.000000,events/second
1685332111,2,0.001137,0.000000,0.000000,0.000000,events/second
1685332141,2,0.001118,0.000000,0.000000,0.000000,events/second
1685332171,2,0.001099,0.000000,0.000000,0.000000,events/second
1685332201,2,0.001081,0.000000,0.000000,0.000000,events/second
1685332231,2,0.001064,0.000000,0.000000,0.000000,events/second
1685332261,2,0.001047,0.000000,0.000000,0.000000,events/second
1685332291,2,0.001031,0.000000,0.000000,0.000000,events/second
