t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,1,0.066406,0.000000,0.000000,0.000000,events/second
1685319780,1,0.022146,0.000000,0.000000,0.000000,events/second
1685319810,1,0.013302,0.000000,0.000000,0.000000,events/second
1685319840,1,0.009506,0.000000,0.000000,0.000000,events/second
1685319870,1,0.007396,0.000000,0.000000,0.000000,events/second
1685319900,1,0.006052,0.000000,0.000000,0.000000,events/second
1685319930,2,0.010244,0.000000,0.000000,0.000000,events/second
1685320110,1,0.030792,0.000000,0.000000,0.000000,events/second
1685320140,1,0.015964,0.000000,0.000000,0.000000,events/second
1685320170,1,0.010792,0.000000,0.000000,0.000000,events/second
1685320200,1,0.008152,0.000000,0.000000,0.000000,events/second
1685320230,1,0.006549,0.000000,0.000000,0.000000,events/second
1685320260,1,0.005473,0.000000,0.000000,0.000000,events/second
1685320290,1,0.004701,0.000000,0.000000,0.000000,events/second
1685320320,1,0.004120,0.000000,0.000000,0.000000,events/second
1685320350,1,0.003666,0.000000,0.000000,0.000000,events/second
1685320380,1,0.003303,0.000000,0.000000,0.000000,events/second
1685320410,1,0.003005,0.000000,0.000000,0.000000,events/second
1685320440,1,0.002757,0.000000,0.000000,0.000000,events/second
1685320470,1,0.002546,0.000000,0.000000,0.000000,events/second
1685320500,1,0.002365,0.000000,0.000000,0.000000,events/second
1685320530,1,0.002208,0.000000,0.000000,0.000000,events/second
1685320560,1,0.002071,0.000000,0.000000,0.000000,events/second
1685320590,1,0.001950,0.000000,0.000000,0.000000,events/second
1685320620,1,0.001842,0.000000,0.000000,0.000000,events/second
1685320650,1,0.001746,0.000000,0.000000,0.000000,events/second
1685320680,1,0.001659,0.000000,0.000000,0.000000,events/second
1685320710,1,0.001580,0.000000,0.000000,0.000000,events/second
1685320740,1,0.001508,0.000000,0.000000,0.000000,events/second
1685320770,1,0.001443,0.000000,0.000000,0.000000,events/second
1685320800,1,0.001383,0.000000,0.000000,0.000000,events/second
1685320830,1,0.001328,0.000000,0.000000,0.000000,events/second
1685320860,1,0.001277,0.000000,0.000000,0.000000,events/second
1685320890,1,0.001230,0.000000,0.000000,0.000000,events/second
1685320920,1,0.001186,0.000000,0.000000,0.000000,events/second
1685320950,2,0.002291,0.000000,0.000000,0.000000,events/second
1685320980,2,0.002215,0.000000,0.000000,0.000000,events/second
1685321010,4,0.004287,0.000000,0.000000,0.000000,events/second
1685321040,4,0.004153,0.000000,0.000000,0.000000,events/second
1685321070,4,0.004028,0.000000,0.000000,0.000000,events/second
1685321100,4,0.003910,0.000000,0.000000,0.000000,events/second
1685321130,5,0.004748,0.000000,0.000000,0.000000,events/second
1685330370,1,0.053247,0.000000,0.000000,0.000000,events/second
1685330400,1,0.020423,0.000000,0.000000,0.000000,events/second
1685330430,1,0.012661,0.000000,0.000000,0.000000,events/second
1685330460,1,0.009175,0.000000,0.000000,0.000000,events/second
1685330490,1,0.007194,0.000000,0.000000,0.000000,events/second
1685330520,1,0.005916,0.000000,0.000000,0.000000,events/second
1685330550,1,0.005024,0.000000,0.000000,0.000000,events/second
1685330580,1,0.004366,0.000000,0.000000,0.000000,events/second
1685330610,1,0.003860,0.000000,0.000000,0.000000,events/second
1685330640,1,0.003459,0.000000,0.000000,0.000000,events/second
1685330670,1,0.003134,0.000000,0.000000,0.000000,events/second
1685330700,1,0.002864,0.000000,0.000000,0.000000,events/second
1685330730,1,0.002638,0.000000,0.000000,0.000000,events/second
1685330760,1,0.002444,0.000000,0.000000,0.000000,events/second
1685330790,1,0.002277,0.000000,0.000000,0.000000,events/second
1685330820,1,0.002131,0.000000,0.000000,0.000000,events/second
1685330850,1,0.002003,0.000000,0.000000,0.000000,events/second
1685330880,1,0.001890,0.000000,0.000000,0.000000,events/second
1685330910,1,0.001788,0.000000,0.000000,0.000000,events/second
1685330940,1,0.001697,0.000000,0.000000,0.000000,events/second
1685330970,1,0.001615,0.000000,0.000000,0.000000,events/second
1685331000,1,0.001540,0.000000,0.000000,0.000000,events/second
1685331030,1,0.001472,0.000000,0.000000,0.000000,events/second
1685331060,1,0.001410,0.000000,0.000000,0.000000,events/second
1685331090,1,0.001353,0.000000,0.000000,0.000000,events/second
1685331120,1,0.001300,0.000000,0.000000,0.000000,events/second
1685331150,1,0.001251,0.000000,0.000000,0.000000,events/second
1685331180,1,0.001206,0.000000,0.000000,0.000000,events/second
1685331210,1,0.001164,0.000000,0.000000,0.000000,events/second
1685331240,1,0.001124,0.000000,0.000000,0.000000,events/second
1685331270,1,0.001088,0.000000,0.000000,0.000000,events/second
1685331301,1,0.001053,0.000000,0.000000,0.000000,events/second
1685331331,1,0.001021,0.000000,0.000000,0.000000,events/second
1685331361,1,0.000991,0.000000,0.000000,0.000000,events/second
1685331391,1,0.000962,0.000000,0.000000,0.000000,events/second
1685331421,1,0.000935,0.000000,0.000000,0.000000,events/second
1685331451,1,0.000910,0.000000,0.000000,0.000000,events/second
1685331481,1,0.000885,0.000000,0.000000,0.000000,events/second
1685331511,1,0.000862,0.000000,0.000000,0.000000,events/second
1685331541,1,0.000841,0.000000,0.000000,0.000000,events/second
1685331571,1,0.000820,0.000000,0.000000,0.000000,events/second
1685331601,1,0.000800,0.000000,0.000000,0.000000,events/second
1685331631,1,0.000782,0.000000,0.000000,0.000000,events/second
1685331661,1,0.000764,0.000000,0.000000,0.000000,events/second
1685331691,1,0.000747,0.000000,0.000000,0.000000,events/second
1685331721,1,0.000730,0.000000,0.000000,0.000000,events/second
1685331751,1,0.000715,0.000000,0.000000,0.000000,events/second
1685331781,1,0.000700,0.000000,0.000000,0.000000,events/second
1685331811,1,0.000685,0.000000,0.000000,0.000000,events/second
1685331841,1,0.000671,0.000000,0.000000,0.000000,events/second
1685331871,1,0.000658,0.000000,0.000000,0.000000,events/second
1685331901,1,0.000645,0.000000,0.000000,0.000000,events/second
1685331931,1,0.000633,0.000000,0.000000,0.000000,events/second
1685331961,1,0.000621,0.000000,0.000000,0.000000,events/second
1685331991,1,0.000610,0.000000,0.000000,0.000000,events/second
1685332021,1,0.000599,0.000000,0.000000,0.000000,events/second
1685332051,1,0.000588,0.000000,0.000000,0.000000,events/second
1685332081,1,0.000578,0.000000,0.000000,0.000000,events/second
1685332111,1,0.000568,0.000000,0.000000,0.000000,events/second
1685332141,1,0.000559,0.000000,0.000000,0.000000,events/second
1685332171,1,0.000550,0.000000,0.000000,0.000000,events/second
1685332201,1,0.000541,0.000000,0.000000,0.000000,events/second
1685332231,1,0.000532,0.000000,0.000000,0.000000,events/second
1685332261,1,0.000524,0.000000,0.000000,0.000000,events/second
1685332291,1,0.000516,0.000000,0.000000,0.000000,events/second
