t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319780,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319810,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319840,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319870,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319900,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319930,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320110,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320140,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320170,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320200,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320230,0,0.000000,0.000000,0.000000,0.000000,events/second
1685320260,1,0.005473,0.000000,0.000000,0.000000,events/second
1685320290,1,0.004701,0.000000,0.000000,0.000000,events/second
1685320320,1,0.004120,0.000000,0.000000,0.000000,events/second
1685320350,1,0.003666,0.000000,0.000000,0.000000,events/second
1685320380,1,0.003303,0.000000,0.000000,0.000000,events/second
1685320410,1,0.003005,0.000000,0.000000,0.000000,events/second
1685320440,2,0.005513,0.000000,0.000000,0.000000,events/second
1685320470,2,0.005092,0.000000,0.000000,0.000000,events/second
1685320500,2,0.004730,0.000000,0.000000,0.000000,events/second
1685320530,2,0.004417,0.000000,0.000000,0.000000,events/second
1685320560,2,0.004142,0.000000,0.000000,0.000000,events/second
1685320590,2,0.003900,0.000000,0.000000,0.000000,events/second
1685320620,2,0.003684,0.000000,0.000000,0.000000,events/second
1685320650,2,0.003491,0.000000,0.000000,0.000000,events/second
1685320680,2,0.003317,0.000000,0.000000,0.000000,events/second
1685320710,2,0.003160,0.000000,0.000000,0.000000,events/second
1685320740,2,0.003017,0.000000,0.000000,0.000000,events/second
1685320770,2,0.002886,0.000000,0.000000,0.000000,events/second
1685320800,2,0.002766,0.000000,0.000000,0.000000,events/second
1685320830,2,0.002656,0.000000,0.000000,0.000000,events/second
1685320860,2,0.002554,0.000000,0.000000,0.000000,events/second
1685320890,2,0.002460,0.000000,0.000000,0.000000,events/second
1685320920,2,0.002372,0.000000,0.000000,0.000000,events/second
1685320950,2,0.002291,0.000000,0.000000,0.000000,events/second
1685320980,2,0.002215,0.000000,0.000000,0.000000,events/second
1685321010,2,0.002143,0.000000,0.000000,0.000000,events/second
1685321040,2,0.002077,0.000000,0.000000,0.000000,events/second
1685321070,2,0.002014,0.000000,0.000000,0.000000,events/second
1685321100,2,0.001955,0.000000,0.000000,0.000000,events/second
1685321130,2,0.001899,0.000000,0.000000,0.000000,events/second
1685330370,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330400,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330430,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330460,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330490,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330520,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330550,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330580,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330610,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330640,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330670,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330700,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330730,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330760,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330790,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330820,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330850,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330880,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330910,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330940,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330970,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331000,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331030,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331060,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331090,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331120,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331150,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331180,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331210,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331240,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331270,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331301,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331331,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331361,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331391,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331421,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331451,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331481,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331511,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331541,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331571,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331601,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331631,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331661,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331691,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331721,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331751,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331781,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331811,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331841,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331871,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331901,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331931,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331961,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331991,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332021,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332051,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332081,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332111,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332141,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332171,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332201,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332231,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332261,0,0.000000,0.000000,0.000000,0.000000,events/second
1685332291,0,0.000000,0.000000,0.000000,0.000000,events/second
