t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,0,0.000000,0.000000,0.000000,0.000000,events/second
1685319780,1,0.021026,0.011458,0.003093,0.001084,events/second
1685319810,1,0.012890,0.006950,0.002798,0.001048,events/second
1685319840,1,0.009294,0.004215,0.002532,0.001014,events/second
1685319870,1,0.007267,0.002557,0.002291,0.000981,events/second
1685319900,1,0.005965,0.001551,0.002073,0.000948,events/second
1685319930,1,0.005059,0.000941,0.001876,0.000917,events/second
1685320110,2,0.058722,0.027072,0.006395,0.002192,events/second
1685320140,2,0.031150,0.016420,0.005786,0.002120,events/second
1685320170,2,0.021226,0.009959,0.005236,0.002050,events/second
1685320200,2,0.016098,0.006041,0.004737,0.001983,events/second
1685320230,2,0.012965,0.003664,0.004286,0.001918,events/second
1685320260,2,0.010854,0.002222,0.003879,0.001855,events/second
1685320290,2,0.009333,0.001348,0.003509,0.001794,events/second
1685320320,2,0.008187,0.000818,0.003175,0.001735,events/second
1685320350,2,0.007291,0.000496,0.002873,0.001679,events/second
1685320380,2,0.006572,0.000301,0.002600,0.001624,events/second
1685320410,2,0.005982,0.000182,0.002352,0.001570,events/second
1685320440,2,0.005489,0.000111,0.002129,0.001519,events/second
1685320470,2,0.005071,0.000067,0.001926,0.001469,events/second
1685320500,2,0.004713,0.000041,0.001743,0.001421,events/second
1685320530,2,0.004402,0.000025,0.001577,0.001374,events/second
1685320560,2,0.004129,0.000015,0.001427,0.001329,events/second
1685320590,2,0.003888,0.000009,0.001291,0.001286,events/second
1685320620,2,0.003674,0.000006,0.001168,0.001244,events/second
1685320650,2,0.003482,0.000003,0.001057,0.001203,events/second
1685320680,2,0.003309,0.000002,0.000956,0.001163,events/second
1685320710,2,0.003152,0.000001,0.000865,0.001125,events/second
1685320740,2,0.003010,0.000001,0.000783,0.001088,events/second
1685320770,2,0.002880,0.000000,0.000709,0.001053,events/second
1685320800,2,0.002760,0.000000,0.000641,0.001018,events/second
1685320830,2,0.002651,0.000000,0.000580,0.000985,events/second
1685320860,2,0.002549,0.000000,0.000525,0.000952,events/second
1685320890,2,0.002455,0.000000,0.000475,0.000921,events/second
1685320920,2,0.002368,0.000000,0.000430,0.000891,events/second
1685320950,2,0.002287,0.000000,0.000389,0.000862,events/second
1685320980,2,0.002211,0.000000,0.000352,0.000834,events/second
1685321010,2,0.002140,0.000000,0.000318,0.000806,events/second
1685321040,2,0.002073,0.000000,0.000288,0.000780,events/second
1685321070,2,0.002011,0.000000,0.000261,0.000754,events/second
1685321100,2,0.001952,0.000000,0.000236,0.000730,events/second
1685321130,2,0.001896,0.000000,0.000213,0.000706,events/second
1685330370,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330400,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330430,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330460,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330490,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330520,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330550,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330580,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330610,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330640,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330670,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330700,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330730,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330760,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330790,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330820,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330850,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330880,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330910,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330940,0,0.000000,0.000000,0.000000,0.000000,events/second
1685330970,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331000,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331030,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331060,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331090,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331120,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331150,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331180,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331210,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331240,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331270,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331301,0,0.000000,0.000000,0.000000,0.000000,events/second
1685331331,1,0.001019,0.012454,0.003144,0.001090,events/second
1685331361,1,0.000989,0.007554,0.002845,0.001054,events/second
1685331391,1,0.000960,0.004582,0.002574,0.001019,events/second
1685331421,1,0.000933,0.002779,0.002329,0.000986,events/second
1685331451,1,0.000908,0.001685,0.002108,0.000954,events/second
1685331481,1,0.000884,0.001022,0.001907,0.000922,events/second
