t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,4,0.228824,0.058850,0.013004,0.004408,events/second
1685319780,37,0.777960,0.291252,0.077489,0.027111,events/second
1685319810,50,0.644487,0.494420,0.148876,0.053479,events/second
1685319840,76,0.706321,0.475318,0.178784,0.066988,events/second
1685319870,89,0.646722,0.606062,0.240531,0.092048,events/second
1685319900,115,0.686016,0.529496,0.258520,0.103197,events/second
1685319930,133,0.672911,0.697438,0.325638,0.131472,events/second
1685320110,41,1.203553,0.573805,0.131951,0.045025,events/second
1685320140,93,1.448480,1.060795,0.285696,0.100527,events/second
1685320170,119,1.262967,0.995346,0.341640,0.125722,events/second
1685320200,171,1.376366,1.316472,0.475431,0.178579,events/second
1685320230,197,1.277051,1.150422,0.513318,0.201215,events/second
1685320260,275,1.492361,1.762305,0.713849,0.280081,events/second
1685320290,301,1.404686,1.420833,0.729048,0.299389,events/second
1685320320,353,1.444994,1.575459,0.826024,0.346559,events/second
1685320350,379,1.381655,1.307505,0.830548,0.363688,events/second
1685320380,431,1.416253,1.503185,0.917652,0.408725,events/second
1685320410,457,1.366886,1.263669,0.913456,0.423815,events/second
1685320440,535,1.468400,1.476597,0.992722,0.466893,events/second
1685320470,561,1.422556,1.519556,1.060354,0.508085,events/second
1685320500,613,1.444509,1.632883,1.125694,0.548406,events/second
1685320530,639,1.406325,1.340257,1.101596,0.558905,events/second
1685320560,691,1.426536,1.526587,1.163119,0.597567,events/second
1685320590,743,1.444386,1.575774,1.215969,0.634642,events/second
1685320620,795,1.460264,1.669436,1.266608,0.670821,events/second
1685320650,821,1.429217,1.363423,1.229153,0.677313,events/second
1685320680,873,1.444266,1.537101,1.278429,0.712080,events/second
1685320710,899,1.416921,1.284240,1.239901,0.717226,events/second
1685320740,951,1.431164,1.492611,1.288262,0.750697,events/second
1685320770,977,1.406752,1.255177,1.248694,0.754558,events/second
1685320800,1029,1.420234,1.474984,1.296219,0.786806,events/second
1685320830,1055,1.398211,1.244486,1.255893,0.789495,events/second
1685320860,1107,1.411011,1.468499,1.302733,0.820597,events/second
1685320890,1133,1.390933,1.240553,1.261787,0.822173,events/second
1685320920,1185,1.403073,1.462577,1.307905,0.852185,events/second
1685320950,1237,1.414392,1.562840,1.348329,0.881070,events/second
1685320980,1315,1.453679,2.049231,1.471119,0.937844,events/second
1685321010,1367,1.462626,2.009353,1.500148,0.964391,events/second
1685321040,1445,1.497980,2.229410,1.604098,1.017928,events/second
1685321070,1471,1.478923,1.702068,1.534526,1.013041,events/second
1685321100,1523,1.486361,1.742500,1.554689,1.036802,events/second
1685321130,1554,1.473464,1.488776,1.506400,1.036842,events/second
1685330370,4,0.193431,0.063964,0.013223,0.004432,events/second
1685330400,4,0.078692,0.038796,0.011965,0.004287,events/second
1685330430,4,0.049473,0.023531,0.010826,0.004146,events/second
1685330460,4,0.036082,0.014272,0.009796,0.004010,events/second
1685330490,4,0.028394,0.008657,0.008864,0.003879,events/second
1685330520,4,0.023407,0.005251,0.008020,0.003752,events/second
1685330550,4,0.019911,0.003185,0.007257,0.003629,events/second
1685330580,4,0.017322,0.001932,0.006566,0.003510,events/second
1685330610,4,0.015330,0.001172,0.005941,0.003395,events/second
1685330640,4,0.013748,0.000711,0.005376,0.003283,events/second
1685330670,4,0.012462,0.000431,0.004864,0.003176,events/second
1685330700,4,0.011397,0.000261,0.004402,0.003072,events/second
1685330730,4,0.010499,0.000159,0.003983,0.002971,events/second
1685330760,4,0.009732,0.000096,0.003604,0.002874,events/second
1685330790,4,0.009070,0.000058,0.003261,0.002779,events/second
1685330820,4,0.008492,0.000035,0.002950,0.002688,events/second
1685330850,4,0.007983,0.000021,0.002670,0.002600,events/second
1685330880,4,0.007532,0.000013,0.002416,0.002515,events/second
1685330910,4,0.007129,0.000008,0.002186,0.002432,events/second
1685330940,4,0.006767,0.000005,0.001978,0.002353,events/second
1685330970,4,0.006440,0.000003,0.001790,0.002276,events/second
1685331000,4,0.006143,0.000002,0.001619,0.002201,events/second
1685331030,4,0.005873,0.000001,0.001465,0.002129,events/second
1685331060,4,0.005625,0.000001,0.001326,0.002059,events/second
1685331090,4,0.005397,0.000000,0.001200,0.001991,events/second
1685331120,4,0.005187,0.000000,0.001085,0.001926,events/second
1685331150,4,0.004992,0.000000,0.000982,0.001863,events/second
1685331180,4,0.004812,0.000000,0.000889,0.001802,events/second
1685331210,4,0.004645,0.000000,0.000804,0.001743,events/second
1685331240,4,0.004488,0.000000,0.000728,0.001686,events/second
1685331270,4,0.004342,0.000000,0.000658,0.001630,events/second
1685331301,4,0.004205,0.000000,0.000596,0.001577,events/second
1685331331,35,0.035668,0.261618,0.066521,0.024403,events/second
1685331361,50,0.049442,0.476446,0.138952,0.050860,events/second
1685331391,74,0.071065,0.464416,0.169751,0.064449,events/second
1685331421,89,0.083075,0.599450,0.232358,0.089592,events/second
1685331451,113,0.102604,0.525485,0.251125,0.100822,events/second
1685331481,128,0.113141,0.643777,0.308819,0.125826,events/second
1685331511,152,0.130883,0.552371,0.320310,0.135868,events/second
1685331541,167,0.140177,0.660085,0.371421,0.159724,events/second
1685331571,191,0.156383,0.561266,0.376851,0.168641,events/second
