t,value
1685319750,57
1685319780,57
1685319810,57
1685319840,57
1685319870,57
1685319900,57
1685319930,57
1685320110,57
1685320140,57
1685320170,57
1685320200,57
1685320230,57
1685320260,57
1685320290,57
1685320320,57
1685320350,57
1685320380,57
1685320410,57
1685320440,57
1685320470,57
1685320500,57
1685320530,57
1685320560,57
1685320590,57
1685320620,57
1685320650,57
1685320680,57
1685320710,57
1685320740,57
1685320770,57
1685320800,57
1685320830,57
1685320860,57
1685320890,57
1685320920,57
1685320950,57
1685320980,57
1685321010,57
1685321040,57
1685321070,57
1685321100,57
1685321130,57
1685330370,57
1685330400,57
1685330430,57
1685330460,57
1685330490,57
1685330520,57
1685330550,57
1685330580,57
1685330610,57
1685330640,57
1685330670,57
1685330700,57
1685330730,57
1685330760,57
1685330790,57
1685330820,57
1685330850,57
1685330880,57
1685330910,57
1685330940,57
1685330970,57
1685331000,57
1685331030,57
1685331060,57
1685331090,57
1685331120,57
1685331150,57
1685331180,57
1685331210,57
1685331240,57
1685331270,57
1685331301,57
1685331331,57
1685331361,57
1685331391,57
1685331421,57
1685331451,57
1685331481,57
1685331511,57
1685331541,57
1685331571,57
1685331601,57
1685331631,57
1685331661,57
1685331691,57
1685331721,57
1685331751,57
1685331781,57
1685331811,57
1685331841,57
1685331871,57
1685331901,57
1685331931,57
1685331961,57
1685331991,57
1685332021,57
1685332051,57
1685332081,57
1685332111,57
1685332141,57
1685332171,57
1685332201,57
1685332231,57
1685332261,57
1685332291,57
