t,value
1685319750,115
1685319780,115
1685319810,115
1685319840,115
1685319870,115
1685319900,115
1685319930,115
1685320110,115
1685320140,115
1685320170,115
1685320200,115
1685320230,115
1685320260,115
1685320290,115
1685320320,115
1685320350,115
1685320380,115
1685320410,115
1685320440,115
1685320470,115
1685320500,115
1685320530,115
1685320560,115
1685320590,115
1685320620,115
1685320650,115
1685320680,115
1685320710,115
1685320740,115
1685320770,115
1685320800,115
1685320830,115
1685320860,115
1685320890,115
1685320920,115
1685320950,115
1685320980,115
1685321010,115
1685321040,115
1685321070,115
1685321100,115
1685321130,115
1685330370,115
1685330400,115
1685330430,115
1685330460,115
1685330490,115
1685330520,115
1685330550,115
1685330580,115
1685330610,115
1685330640,115
1685330670,115
1685330700,115
1685330730,115
1685330760,115
1685330790,115
1685330820,115
1685330850,115
1685330880,115
1685330910,115
1685330940,115
1685330970,115
1685331000,115
1685331030,115
1685331060,115
1685331090,115
1685331120,115
1685331150,115
1685331180,115
1685331210,115
1685331240,115
1685331270,115
1685331301,115
1685331331,115
1685331361,115
1685331391,115
1685331421,115
1685331451,115
1685331481,115
1685331511,115
1685331541,115
1685331571,115
1685331601,115
1685331631,115
1685331661,115
1685331691,115
1685331721,115
1685331751,115
1685331781,115
1685331811,115
1685331841,115
1685331871,115
1685331901,115
1685331931,115
1685331961,115
1685331991,115
1685332021,115
1685332051,115
1685332081,115
1685332111,115
1685332141,115
1685332171,115
1685332201,115
1685332231,115
1685332261,115
1685332291,115
