t,value
1685319750,8
1685319780,8
1685319810,8
1685319840,8
1685319870,8
1685319900,8
1685319930,8
1685320110,8
1685320140,8
1685320170,8
1685320200,8
1685320230,8
1685320260,8
1685320290,8
1685320320,8
1685320350,8
1685320380,8
1685320410,8
1685320440,8
1685320470,8
1685320500,8
1685320530,8
1685320560,8
1685320590,8
1685320620,8
1685320650,8
1685320680,8
1685320710,8
1685320740,8
1685320770,8
1685320800,8
1685320830,8
1685320860,8
1685320890,8
1685320920,8
1685320950,8
1685320980,8
1685321010,8
1685321040,8
1685321070,8
1685321100,8
1685321130,8
1685330370,8
1685330400,8
1685330430,8
1685330460,8
1685330490,8
1685330520,8
1685330550,8
1685330580,8
1685330610,8
1685330640,8
1685330670,8
1685330700,8
1685330730,8
1685330760,8
1685330790,8
1685330820,8
1685330850,8
1685330880,8
1685330910,8
1685330940,8
1685330970,8
1685331000,8
1685331030,8
1685331060,8
1685331090,8
1685331120,8
1685331150,8
1685331180,8
1685331210,8
1685331240,8
1685331270,8
1685331301,8
1685331331,8
1685331361,8
1685331391,8
1685331421,8
1685331451,8
1685331481,8
1685331511,8
1685331541,8
1685331571,8
1685331601,8
1685331631,8
1685331661,8
1685331691,8
1685331721,8
1685331751,8
1685331781,8
1685331811,8
1685331841,8
1685331871,8
1685331901,8
1685331931,8
1685331961,8
1685331991,8
1685332021,8
1685332051,8
1685332081,8
1685332111,8
1685332141,8
1685332171,8
1685332201,8
1685332231,8
1685332261,8
1685332291,8
