t,value
1685319750,73728
1685319780,73728
1685319810,73728
1685319840,73728
1685319870,73728
1685319900,73728
1685319930,73728
1685320110,1303410
1685320140,1303410
1685320170,1303410
1685320200,1303410
1685320230,1303410
1685320260,1303410
1685320290,1303410
1685320320,1303410
1685320350,1303410
1685320380,1303410
1685320410,1303410
1685320440,1303410
1685320470,1303410
1685320500,1303410
1685320530,1303410
1685320560,1303410
1685320590,1303410
1685320620,1303410
1685320650,1303410
1685320680,1303410
1685320710,1303410
1685320740,1303410
1685320770,1303410
1685320800,1303410
1685320830,1303410
1685320860,1303410
1685320890,1303410
1685320920,1303410
1685320950,1303410
1685320980,1303410
1685321010,1303410
1685321040,1303410
1685321070,1303410
1685321100,1303410
1685321130,1303410
1685330370,1327986
1685330400,1327986
1685330430,1327986
1685330460,1327986
1685330490,1327986
1685330520,1327986
1685330550,1327986
1685330580,1327986
1685330610,1327986
1685330640,1327986
1685330670,1327986
1685330700,1327986
1685330730,1327986
1685330760,1327986
1685330790,1327986
1685330820,1327986
1685330850,1327986
1685330880,1327986
1685330910,1327986
1685330940,1327986
1685330970,1327986
1685331000,1327986
1685331030,1327986
1685331060,1327986
1685331090,1327986
1685331120,1327986
1685331150,1327986
1685331180,1327986
1685331210,1327986
1685331240,1327986
1685331270,1327986
1685331301,1327986
1685331331,1327986
1685331361,1327986
1685331391,1327986
1685331421,1327986
1685331451,1327986
1685331481,1327986
1685331511,1327986
1685331541,1327986
1685331571,1327986
1685331601,1327986
1685331631,1327986
1685331661,1327986
1685331691,1327986
1685331721,1327986
1685331751,1327986
1685331781,1327986
1685331811,1327986
1685331841,1327986
1685331871,1327986
1685331901,1327986
1685331931,1327986
1685331961,1327986
1685331991,1327986
1685332021,1327986
1685332051,1327986
1685332081,1327986
1685332111,1327986
1685332141,1327986
1685332171,1327986
1685332201,1327986
1685332231,1327986
1685332261,1327986
1685332291,1327986
