t,value
1685319750,73728
1685319780,73728
1685319810,73728
1685319840,73728
1685319870,73728
1685319900,73728
1685319930,73728
1685320110,1356580
1685320140,1356580
1685320170,1356580
1685320200,1356580
1685320230,1356580
1685320260,1356580
1685320290,1356580
1685320320,1356580
1685320350,1356580
1685320380,1356580
1685320410,1356580
1685320440,1356580
1685320470,1356580
1685320500,1356580
1685320530,1356580
1685320560,1356580
1685320590,1356580
1685320620,1356580
1685320650,1356580
1685320680,1356580
1685320710,1356580
1685320740,1356580
1685320770,1356580
1685320800,1356580
1685320830,1356580
1685320860,1356580
1685320890,1356580
1685320920,1356580
1685320950,1356580
1685320980,1356580
1685321010,1356580
1685321040,1356580
1685321070,1356580
1685321100,1356580
1685321130,1356580
1685330370,1381388
1685330400,1381388
1685330430,1381388
1685330460,1381388
1685330490,1381388
1685330520,1381388
1685330550,1381388
1685330580,1381388
1685330610,1381388
1685330640,1381388
1685330670,1381388
1685330700,1381388
1685330730,1381388
1685330760,1381388
1685330790,1381388
1685330820,1381388
1685330850,1381388
1685330880,1381388
1685330910,1381388
1685330940,1381388
1685330970,1381388
1685331000,1381388
1685331030,1381388
1685331060,1381388
1685331090,1381388
1685331120,1381388
1685331150,1381388
1685331180,1381388
1685331210,1381388
1685331240,1381388
1685331270,1381388
1685331301,1381388
1685331331,1381388
1685331361,1381388
1685331391,1381388
1685331421,1381388
1685331451,1381388
1685331481,1381388
1685331511,1381388
1685331541,1381388
1685331571,1381388
1685331601,1381388
1685331631,1381388
1685331661,1381388
1685331691,1381388
1685331721,1381388
1685331751,1381388
1685331781,1381388
1685331811,1381388
1685331841,1381388
1685331871,1381388
1685331901,1381388
1685331931,1381388
1685331961,1381388
1685331991,1381388
1685332021,1381388
1685332051,1381388
1685332081,1381388
1685332111,1381388
1685332141,1381388
1685332171,1381388
1685332201,1381388
1685332231,1381388
1685332261,1381388
1685332291,1381388
