t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,16,0.957191,0.000000,0.000000,0.000000,events/second
1685319780,39,0.833533,0.000000,0.000000,0.000000,events/second
1685319810,47,0.611903,0.000000,0.000000,0.000000,events/second
1685319840,63,0.589731,0.000000,0.000000,0.000000,events/second
1685319870,71,0.518833,0.000000,0.000000,0.000000,events/second
1685319900,87,0.521386,0.000000,0.000000,0.000000,events/second
1685319930,105,0.533328,0.000000,0.000000,0.000000,events/second
1685320110,43,1.298794,0.000000,0.000000,0.000000,events/second
1685320140,75,1.186110,0.000000,0.000000,0.000000,events/second
1685320170,91,0.975879,0.000000,0.000000,0.000000,events/second
1685320200,123,0.997836,0.000000,0.000000,0.000000,events/second
1685320230,139,0.906786,0.000000,0.000000,0.000000,events/second
1685320260,187,1.020194,0.000000,0.000000,0.000000,events/second
1685320290,203,0.951669,0.000000,0.000000,0.000000,events/second
1685320320,235,0.965813,0.000000,0.000000,0.000000,events/second
1685320350,251,0.918285,0.000000,0.000000,0.000000,events/second
1685320380,283,0.932913,0.000000,0.000000,0.000000,events/second
1685320410,299,0.896919,0.000000,0.000000,0.000000,events/second
1685320440,347,0.954953,0.000000,0.000000,0.000000,events/second
1685320470,363,0.922755,0.000000,0.000000,0.000000,events/second
1685320500,395,0.932941,0.000000,0.000000,0.000000,events/second
1685320530,411,0.906479,0.000000,0.000000,0.000000,events/second
1685320560,443,0.916393,0.000000,0.000000,0.000000,events/second
1685320590,475,0.925147,0.000000,0.000000,0.000000,events/second
1685320620,507,0.932931,0.000000,0.000000,0.000000,events/second
1685320650,523,0.911997,0.000000,0.000000,0.000000,events/second
1685320680,555,0.919656,0.000000,0.000000,0.000000,events/second
1685320710,572,0.902919,0.000000,0.000000,0.000000,events/second
1685320740,604,0.910296,0.000000,0.000000,0.000000,events/second
1685320770,620,0.893971,0.000000,0.000000,0.000000,events/second
1685320800,652,0.901106,0.000000,0.000000,0.000000,events/second
1685320830,668,0.886456,0.000000,0.000000,0.000000,events/second
1685320860,700,0.893346,0.000000,0.000000,0.000000,events/second
1685320890,716,0.880052,0.000000,0.000000,0.000000,events/second
1685320920,748,0.886675,0.000000,0.000000,0.000000,events/second
1685320950,780,0.892850,0.000000,0.000000,0.000000,events/second
1685320980,828,0.916306,0.000000,0.000000,0.000000,events/second
1685321010,860,0.921119,0.000000,0.000000,0.000000,events/second
1685321040,908,0.942242,0.000000,0.000000,0.000000,events/second
1685321070,924,0.929887,0.000000,0.000000,0.000000,events/second
1685321100,956,0.933889,0.000000,0.000000,0.000000,events/second
1685321130,983,0.932917,0.000000,0.000000,0.000000,events/second
1685330370,16,0.818621,0.000000,0.000000,0.000000,events/second
1685330400,16,0.322062,0.000000,0.000000,0.000000,events/second
1685330430,16,0.200752,0.000000,0.000000,0.000000,events/second
1685330460,16,0.145841,0.000000,0.000000,0.000000,events/second
1685330490,16,0.114513,0.000000,0.000000,0.000000,events/second
1685330520,16,0.094264,0.000000,0.000000,0.000000,events/second
1685330550,16,0.080101,0.000000,0.000000,0.000000,events/second
1685330580,16,0.069636,0.000000,0.000000,0.000000,events/second
1685330610,16,0.061591,0.000000,0.000000,0.000000,events/second
1685330640,16,0.055211,0.000000,0.000000,0.000000,events/second
1685330670,16,0.050029,0.000000,0.000000,0.000000,events/second
1685330700,16,0.045737,0.000000,0.000000,0.000000,events/second
1685330730,16,0.042123,0.000000,0.000000,0.000000,events/second
1685330760,16,0.039039,0.000000,0.000000,0.000000,events/second
1685330790,16,0.036375,0.000000,0.000000,0.000000,events/second
1685330820,16,0.034051,0.000000,0.000000,0.000000,events/second
