t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,84,5.025406,0.000000,0.000000,0.000000,events/second
1685319780,84,1.795557,0.000000,0.000000,0.000000,events/second
1685319810,84,1.093709,0.000000,0.000000,0.000000,events/second
1685319840,84,0.786357,0.000000,0.000000,0.000000,events/second
1685319870,84,0.613861,0.000000,0.000000,0.000000,events/second
1685319900,84,0.503428,0.000000,0.000000,0.000000,events/second
1685319930,84,0.426677,0.000000,0.000000,0.000000,events/second
1685320110,84,2.536268,0.000000,0.000000,0.000000,events/second
1685320140,84,1.328515,0.000000,0.000000,0.000000,events/second
1685320170,84,0.900844,0.000000,0.000000,0.000000,events/second
1685320200,84,0.681468,0.000000,0.000000,0.000000,events/second
1685320230,84,0.547997,0.000000,0.000000,0.000000,events/second
1685320260,84,0.458278,0.000000,0.000000,0.000000,events/second
1685320290,84,0.393801,0.000000,0.000000,0.000000,events/second
1685320320,84,0.345232,0.000000,0.000000,0.000000,events/second
1685320350,84,0.307318,0.000000,0.000000,0.000000,events/second
1685320380,84,0.276910,0.000000,0.000000,0.000000,events/second
1685320410,84,0.251980,0.000000,0.000000,0.000000,events/second
1685320440,84,0.231172,0.000000,0.000000,0.000000,events/second
1685320470,84,0.213532,0.000000,0.000000,0.000000,events/second
1685320500,84,0.198399,0.000000,0.000000,0.000000,events/second
1685320530,84,0.185267,0.000000,0.000000,0.000000,events/second
1685320560,84,0.173764,0.000000,0.000000,0.000000,events/second
1685320590,84,0.163606,0.000000,0.000000,0.000000,events/second
1685320620,84,0.154569,0.000000,0.000000,0.000000,events/second
1685320650,84,0.146478,0.000000,0.000000,0.000000,events/second
1685320680,84,0.139192,0.000000,0.000000,0.000000,events/second
1685320710,84,0.132597,0.000000,0.000000,0.000000,events/second
1685320740,84,0.126598,0.000000,0.000000,0.000000,events/second
1685320770,84,0.121119,0.000000,0.000000,0.000000,events/second
1685320800,84,0.116094,0.000000,0.000000,0.000000,events/second
1685320830,84,0.111471,0.000000,0.000000,0.000000,events/second
1685320860,84,0.107202,0.000000,0.000000,0.000000,events/second
1685320890,84,0.103247,0.000000,0.000000,0.000000,events/second
1685320920,84,0.099573,0.000000,0.000000,0.000000,events/second
1685320950,84,0.096153,0.000000,0.000000,0.000000,events/second
1685320980,84,0.092959,0.000000,0.000000,0.000000,events/second
1685321010,84,0.089970,0.000000,0.000000,0.000000,events/second
1685321040,84,0.087168,0.000000,0.000000,0.000000,events/second
1685321070,84,0.084535,0.000000,0.000000,0.000000,events/second
1685321100,84,0.082057,0.000000,0.000000,0.000000,events/second
1685321130,84,0.079721,0.000000,0.000000,0.000000,events/second
1685330370,84,4.294942,0.000000,0.000000,0.000000,events/second
1685330400,84,1.690924,0.000000,0.000000,0.000000,events/second
1685330430,84,1.053981,0.000000,0.000000,0.000000,events/second
1685330460,84,0.765684,0.000000,0.000000,0.000000,events/second
1685330490,84,0.601206,0.000000,0.000000,0.000000,events/second
1685330520,84,0.494894,0.000000,0.000000,0.000000,events/second
1685330550,84,0.420536,0.000000,0.000000,0.000000,events/second
1685330580,84,0.365596,0.000000,0.000000,0.000000,events/second
1685330610,84,0.323355,0.000000,0.000000,0.000000,events/second
1685330640,84,0.289860,0.000000,0.000000,0.000000,events/second
1685330670,84,0.262654,0.000000,0.000000,0.000000,events/second
1685330700,84,0.240120,0.000000,0.000000,0.000000,events/second
1685330730,84,0.221148,0.000000,0.000000,0.000000,events/second
1685330760,84,0.204955,0.000000,0.000000,0.000000,events/second
1685330790,84,0.190968,0.000000,0.000000,0.000000,events/second
1685330820,84,0.178767,0.000000,0.000000,0.000000,events/second
1685330850,84,0.168033,0.000000,0.000000,0.000000,events/second
1685330880,84,0.158515,0.000000,0.000000,0.000000,events/second
1685330910,84,0.150017,0.000000,0.000000,0.000000,events/second
1685330940,84,0.142387,0.000000,0.000000,0.000000,events/second
1685330970,84,0.135493,0.000000,0.000000,0.000000,events/second
1685331000,84,0.129237,0.000000,0.000000,0.000000,events/second
1685331030,84,0.123533,0.000000,0.000000,0.000000,events/second
1685331060,84,0.118310,0.000000,0.000000,0.000000,events/second
1685331090,84,0.113511,0.000000,0.000000,0.000000,events/second
1685331120,84,0.109087,0.000000,0.000000,0.000000,events/second
1685331150,84,0.104993,0.000000,0.000000,0.000000,events/second
1685331180,84,0.101198,0.000000,0.000000,0.000000,events/second
1685331210,84,0.097666,0.000000,0.000000,0.000000,events/second
1685331240,84,0.094373,0.000000,0.000000,0.000000,events/second
1685331270,84,0.091295,0.000000,0.000000,0.000000,events/second
1685331301,84,0.088410,0.000000,0.000000,0.000000,events/second
1685331331,84,0.085703,0.000000,0.000000,0.000000,events/second
1685331361,84,0.083157,0.000000,0.000000,0.000000,events/second
1685331391,84,0.080758,0.000000,0.000000,0.000000,events/second
1685331421,84,0.078493,0.000000,0.000000,0.000000,events/second
1685331451,84,0.076352,0.000000,0.000000,0.000000,events/second
1685331481,84,0.074324,0.000000,0.000000,0.000000,events/second
1685331511,84,0.072402,0.000000,0.000000,0.000000,events/second
1685331541,84,0.070577,0.000000,0.000000,0.000000,events/second
1685331571,84,0.068841,0.000000,0.000000,0.000000,events/second
1685331601,84,0.067188,0.000000,0.000000,0.000000,events/second
1685331631,84,0.065613,0.000000,0.000000,0.000000,events/second
1685331661,84,0.064110,0.000000,0.000000,0.000000,events/second
1685331691,84,0.062675,0.000000,0.000000,0.000000,events/second
1685331721,84,0.061302,0.000000,0.000000,0.000000,events/second
1685331751,84,0.059988,0.000000,0.000000,0.000000,events/second
1685331781,84,0.058730,0.000000,0.000000,0.000000,events/second
1685331811,84,0.057523,0.000000,0.000000,0.000000,events/second
1685331841,84,0.056364,0.000000,0.000000,0.000000,events/second
1685331871,84,0.055252,0.000000,0.000000,0.000000,events/second
1685331901,84,0.054182,0.000000,0.000000,0.000000,events/second
1685331931,84,0.053153,0.000000,0.000000,0.000000,events/second
1685331961,84,0.052163,0.000000,0.000000,0.000000,events/second
1685331991,84,0.051209,0.000000,0.000000,0.000000,events/second
1685332021,84,0.050289,0.000000,0.000000,0.000000,events/second
1685332051,84,0.049401,0.000000,0.000000,0.000000,events/second
1685332081,84,0.048545,0.000000,0.000000,0.000000,events/second
1685332111,84,0.047717,0.000000,0.000000,0.000000,events/second
1685332141,84,0.046917,0.000000,0.000000,0.000000,events/second
1685332171,84,0.046143,0.000000,0.000000,0.000000,events/second
1685332201,84,0.045395,0.000000,0.000000,0.000000,events/second
1685332231,84,0.044671,0.000000,0.000000,0.000000,events/second
1685332261,84,0.043969,0.000000,0.000000,0.000000,events/second
1685332291,84,0.043289,0.000000,0.000000,0.000000,events/second
