t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,2,0.119536,0.000000,0.000000,0.000000,events/second
1685319780,5,0.106850,0.000000,0.000000,0.000000,events/second
1685319810,5,0.065091,0.000000,0.000000,0.000000,events/second
1685319840,5,0.046802,0.000000,0.000000,0.000000,events/second
1685319870,5,0.036536,0.000000,0.000000,0.000000,events/second
1685319900,5,0.029964,0.000000,0.000000,0.000000,events/second
1685319930,5,0.025396,0.000000,0.000000,0.000000,events/second
1685320110,9,0.271632,0.000000,0.000000,0.000000,events/second
1685320140,9,0.142327,0.000000,0.000000,0.000000,events/second
1685320170,9,0.096513,0.000000,0.000000,0.000000,events/second
1685320200,9,0.073011,0.000000,0.000000,0.000000,events/second
1685320230,9,0.058712,0.000000,0.000000,0.000000,events/second
1685320260,9,0.049100,0.000000,0.000000,0.000000,events/second
1685320290,9,0.042192,0.000000,0.000000,0.000000,events/second
1685320320,9,0.036988,0.000000,0.000000,0.000000,events/second
1685320350,9,0.032926,0.000000,0.000000,0.000000,events/second
1685320380,9,0.029668,0.000000,0.000000,0.000000,events/second
1685320410,9,0.026997,0.000000,0.000000,0.000000,events/second
1685320440,9,0.024768,0.000000,0.000000,0.000000,events/second
1685320470,9,0.022878,0.000000,0.000000,0.000000,events/second
1685320500,9,0.021257,0.000000,0.000000,0.000000,events/second
1685320530,9,0.019850,0.000000,0.000000,0.000000,events/second
1685320560,9,0.018617,0.000000,0.000000,0.000000,events/second
1685320590,9,0.017529,0.000000,0.000000,0.000000,events/second
1685320620,9,0.016561,0.000000,0.000000,0.000000,events/second
1685320650,9,0.015694,0.000000,0.000000,0.000000,events/second
1685320680,9,0.014913,0.000000,0.000000,0.000000,events/second
1685320710,9,0.014207,0.000000,0.000000,0.000000,events/second
1685320740,9,0.013564,0.000000,0.000000,0.000000,events/second
1685320770,9,0.012977,0.000000,0.000000,0.000000,events/second
1685320800,9,0.012439,0.000000,0.000000,0.000000,events/second
1685320830,9,0.011943,0.000000,0.000000,0.000000,events/second
1685320860,9,0.011486,0.000000,0.000000,0.000000,events/second
1685320890,9,0.011062,0.000000,0.000000,0.000000,events/second
1685320920,9,0.010669,0.000000,0.000000,0.000000,events/second
1685320950,9,0.010302,0.000000,0.000000,0.000000,events/second
1685320980,9,0.009960,0.000000,0.000000,0.000000,events/second
1685321010,9,0.009640,0.000000,0.000000,0.000000,events/second
1685321040,9,0.009339,0.000000,0.000000,0.000000,events/second
1685321070,9,0.009057,0.000000,0.000000,0.000000,events/second
1685321100,9,0.008792,0.000000,0.000000,0.000000,events/second
1685321130,9,0.008541,0.000000,0.000000,0.000000,events/second
1685330370,2,0.102175,0.000000,0.000000,0.000000,events/second
1685330400,2,0.040255,0.000000,0.000000,0.000000,events/second
1685330430,2,0.025093,0.000000,0.000000,0.000000,events/second
1685330460,2,0.018229,0.000000,0.000000,0.000000,events/second
1685330490,2,0.014314,0.000000,0.000000,0.000000,events/second
1685330520,2,0.011783,0.000000,0.000000,0.000000,events/second
1685330550,2,0.010012,0.000000,0.000000,0.000000,events/second
1685330580,2,0.008704,0.000000,0.000000,0.000000,events/second
1685330610,2,0.007699,0.000000,0.000000,0.000000,events/second
1685330640,2,0.006901,0.000000,0.000000,0.000000,events/second
1685330670,2,0.006254,0.000000,0.000000,0.000000,events/second
1685330700,2,0.005717,0.000000,0.000000,0.000000,events/second
1685330730,2,0.005265,0.000000,0.000000,0.000000,events/second
1685330760,2,0.004880,0.000000,0.000000,0.000000,events/second
1685330790,2,0.004547,0.000000,0.000000,0.000000,events/second
1685330820,2,0.004256,0.000000,0.000000,0.000000,events/second
1685330850,2,0.004001,0.000000,0.000000,0.000000,events/second
1685330880,2,0.003774,0.000000,0.000000,0.000000,events/second
1685330910,2,0.003572,0.000000,0.000000,0.000000,events/second
1685330940,2,0.003390,0.000000,0.000000,0.000000,events/second
1685330970,2,0.003226,0.000000,0.000000,0.000000,events/second
1685331000,2,0.003077,0.000000,0.000000,0.000000,events/second
1685331030,2,0.002941,0.000000,0.000000,0.000000,events/second
1685331060,2,0.002817,0.000000,0.000000,0.000000,events/second
1685331090,2,0.002703,0.000000,0.000000,0.000000,events/second
1685331120,2,0.002597,0.000000,0.000000,0.000000,events/second
1685331150,2,0.002500,0.000000,0.000000,0.000000,events/second
1685331180,2,0.002409,0.000000,0.000000,0.000000,events/second
1685331210,2,0.002325,0.000000,0.000000,0.000000,events/second
1685331240,2,0.002247,0.000000,0.000000,0.000000,events/second
1685331270,2,0.002174,0.000000,0.000000,0.000000,events/second
1685331301,2,0.002105,0.000000,0.000000,0.000000,events/second
1685331331,5,0.005101,0.000000,0.000000,0.000000,events/second
1685331361,5,0.004950,0.000000,0.000000,0.000000,events/second
1685331391,5,0.004807,0.000000,0.000000,0.000000,events/second
1685331421,5,0.004672,0.000000,0.000000,0.000000,events/second
1685331451,5,0.004545,0.000000,0.000000,0.000000,events/second
1685331481,5,0.004424,0.000000,0.000000,0.000000,events/second
1685331511,5,0.004310,0.000000,0.000000,0.000000,events/second
1685331541,5,0.004201,0.000000,0.000000,0.000000,events/second
1685331571,5,0.004098,0.000000,0.000000,0.000000,events/second
1685331601,5,0.003999,0.000000,0.000000,0.000000,events/second
1685331631,5,0.003906,0.000000,0.000000,0.000000,events/second
1685331661,5,0.003816,0.000000,0.000000,0.000000,events/second
1685331691,5,0.003731,0.000000,0.000000,0.000000,events/second
1685331721,5,0.003649,0.000000,0.000000,0.000000,events/second
1685331751,5,0.003571,0.000000,0.000000,0.000000,events/second
1685331781,5,0.003496,0.000000,0.000000,0.000000,events/second
1685331811,5,0.003424,0.000000,0.000000,0.000000,events/second
1685331841,5,0.003355,0.000000,0.000000,0.000000,events/second
1685331871,5,0.003289,0.000000,0.000000,0.000000,events/second
1685331901,5,0.003225,0.000000,0.000000,0.000000,events/second
1685331931,5,0.003164,0.000000,0.000000,0.000000,events/second
1685331961,5,0.003105,0.000000,0.000000,0.000000,events/second
1685331991,5,0.003048,0.000000,0.000000,0.000000,events/second
1685332021,5,0.002993,0.000000,0.000000,0.000000,events/second
1685332051,5,0.002941,0.000000,0.000000,0.000000,events/second
1685332081,5,0.002890,0.000000,0.000000,0.000000,events/second
1685332111,5,0.002840,0.000000,0.000000,0.000000,events/second
1685332141,5,0.002793,0.000000,0.000000,0.000000,events/second
1685332171,5,0.002747,0.000000,0.000000,0.000000,events/second
1685332201,5,0.002702,0.000000,0.000000,0.000000,events/second
1685332231,5,0.002659,0.000000,0.000000,0.000000,events/second
1685332261,5,0.002617,0.000000,0.000000,0.000000,events/second
1685332291,5,0.002577,0.000000,0.000000,0.000000,events/second
