t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,174,10.401733,0.000000,0.000000,0.000000,events/second
1685319780,176,3.761707,0.000000,0.000000,0.000000,events/second
1685319810,176,2.291430,0.000000,0.000000,0.000000,events/second
1685319840,176,1.647527,0.000000,0.000000,0.000000,events/second
1685319870,176,1.286137,0.000000,0.000000,0.000000,events/second
1685319900,176,1.054769,0.000000,0.000000,0.000000,events/second
1685319930,176,0.893967,0.000000,0.000000,0.000000,events/second
1685320110,11,0.331953,0.000000,0.000000,0.000000,events/second
1685320140,11,0.173964,0.000000,0.000000,0.000000,events/second
1685320170,11,0.117964,0.000000,0.000000,0.000000,events/second
1685320200,11,0.089238,0.000000,0.000000,0.000000,events/second
1685320230,11,0.071760,0.000000,0.000000,0.000000,events/second
1685320260,11,0.060012,0.000000,0.000000,0.000000,events/second
1685320290,11,0.051568,0.000000,0.000000,0.000000,events/second
1685320320,11,0.045208,0.000000,0.000000,0.000000,events/second
1685320350,11,0.040244,0.000000,0.000000,0.000000,events/second
1685320380,12,0.039558,0.000000,0.000000,0.000000,events/second
1685320410,12,0.035997,0.000000,0.000000,0.000000,events/second
1685320440,12,0.033024,0.000000,0.000000,0.000000,events/second
1685320470,12,0.030504,0.000000,0.000000,0.000000,events/second
1685320500,12,0.028343,0.000000,0.000000,0.000000,events/second
1685320530,12,0.026467,0.000000,0.000000,0.000000,events/second
1685320560,12,0.024823,0.000000,0.000000,0.000000,events/second
1685320590,12,0.023372,0.000000,0.000000,0.000000,events/second
1685320620,12,0.022081,0.000000,0.000000,0.000000,events/second
1685320650,12,0.020925,0.000000,0.000000,0.000000,events/second
1685320680,13,0.021542,0.000000,0.000000,0.000000,events/second
1685320710,13,0.020521,0.000000,0.000000,0.000000,events/second
1685320740,13,0.019592,0.000000,0.000000,0.000000,events/second
1685320770,13,0.018745,0.000000,0.000000,0.000000,events/second
1685320800,13,0.017967,0.000000,0.000000,0.000000,events/second
1685320830,13,0.017251,0.000000,0.000000,0.000000,events/second
1685320860,13,0.016591,0.000000,0.000000,0.000000,events/second
1685320890,13,0.015979,0.000000,0.000000,0.000000,events/second
