t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,4,0.272508,0.000000,0.000000,0.000000,events/second
1685319780,20,0.447148,0.000000,0.000000,0.000000,events/second
1685319810,24,0.321076,0.000000,0.000000,0.000000,events/second
1685319840,32,0.305438,0.000000,0.000000,0.000000,events/second
1685319870,36,0.267093,0.000000,0.000000,0.000000,events/second
1685319900,44,0.266988,0.000000,0.000000,0.000000,events/second
1685319930,55,0.282318,0.000000,0.000000,0.000000,events/second
1685320110,26,1.145785,0.000000,0.000000,0.000000,events/second
1685320140,42,0.795957,0.000000,0.000000,0.000000,events/second
1685320170,50,0.603981,0.000000,0.000000,0.000000,events/second
1685320200,66,0.585099,0.000000,0.000000,0.000000,events/second
1685320230,74,0.518120,0.000000,0.000000,0.000000,events/second
1685320260,98,0.567021,0.000000,0.000000,0.000000,events/second
1685320290,106,0.522569,0.000000,0.000000,0.000000,events/second
1685320320,122,0.523936,0.000000,0.000000,0.000000,events/second
1685320350,130,0.494540,0.000000,0.000000,0.000000,events/second
1685320380,146,0.498487,0.000000,0.000000,0.000000,events/second
1685320410,154,0.476930,0.000000,0.000000,0.000000,events/second
1685320440,178,0.504387,0.000000,0.000000,0.000000,events/second
1685320470,186,0.485739,0.000000,0.000000,0.000000,events/second
1685320500,202,0.489191,0.000000,0.000000,0.000000,events/second
1685320530,210,0.474108,0.000000,0.000000,0.000000,events/second
1685320560,226,0.477850,0.000000,0.000000,0.000000,events/second
1685320590,242,0.481145,0.000000,0.000000,0.000000,events/second
1685320620,258,0.484068,0.000000,0.000000,0.000000,events/second
1685320650,266,0.472467,0.000000,0.000000,0.000000,events/second
1685320680,282,0.475531,0.000000,0.000000,0.000000,events/second
1685320710,290,0.465463,0.000000,0.000000,0.000000,events/second
1685320740,306,0.468567,0.000000,0.000000,0.000000,events/second
1685320770,314,0.459690,0.000000,0.000000,0.000000,events/second
1685320800,330,0.462775,0.000000,0.000000,0.000000,events/second
1685320830,338,0.454853,0.000000,0.000000,0.000000,events/second
1685320860,354,0.457894,0.000000,0.000000,0.000000,events/second
1685320890,362,0.450741,0.000000,0.000000,0.000000,events/second
1685320920,378,0.453707,0.000000,0.000000,0.000000,events/second
1685320950,394,0.456472,0.000000,0.000000,0.000000,events/second
1685320980,418,0.468000,0.000000,0.000000,0.000000,events/second
1685321010,434,0.470113,0.000000,0.000000,0.000000,events/second
1685321040,458,0.480490,0.000000,0.000000,0.000000,events/second
1685321070,466,0.473961,0.000000,0.000000,0.000000,events/second
1685321100,482,0.475715,0.000000,0.000000,0.000000,events/second
1685321130,499,0.478327,0.000000,0.000000,0.000000,events/second
1685330370,5,0.591894,0.000000,0.000000,0.000000,events/second
1685330400,5,0.129777,0.000000,0.000000,0.000000,events/second
1685330430,5,0.072941,0.000000,0.000000,0.000000,events/second
1685330460,5,0.050732,0.000000,0.000000,0.000000,events/second
1685330490,5,0.038889,0.000000,0.000000,0.000000,events/second
1685330520,5,0.031529,0.000000,0.000000,0.000000,events/second
1685330550,5,0.026512,0.000000,0.000000,0.000000,events/second
1685330580,5,0.022872,0.000000,0.000000,0.000000,events/second
1685330610,5,0.020110,0.000000,0.000000,0.000000,events/second
1685330640,5,0.017944,0.000000,0.000000,0.000000,events/second
1685330670,5,0.016199,0.000000,0.000000,0.000000,events/second
1685330700,5,0.014763,0.000000,0.000000,0.000000,events/second
1685330730,5,0.013562,0.000000,0.000000,0.000000,events/second
1685330760,5,0.012541,0.000000,0.000000,0.000000,events/second
1685330790,5,0.011663,0.000000,0.000000,0.000000,events/second
1685330820,5,0.010900,0.000000,0.000000,0.000000,events/second
1685330850,5,0.010230,0.000000,0.000000,0.000000,events/second
1685330880,5,0.009638,0.000000,0.000000,0.000000,events/second
1685330910,5,0.009111,0.000000,0.000000,0.000000,events/second
1685330940,5,0.008639,0.000000,0.000000,0.000000,events/second
1685330970,5,0.008213,0.000000,0.000000,0.000000,events/second
1685331000,5,0.007827,0.000000,0.000000,0.000000,events/second
1685331030,5,0.007476,0.000000,0.000000,0.000000,events/second
1685331060,5,0.007155,0.000000,0.000000,0.000000,events/second
1685331090,5,0.006860,0.000000,0.000000,0.000000,events/second
1685331120,5,0.006589,0.000000,0.000000,0.000000,events/second
1685331150,5,0.006338,0.000000,0.000000,0.000000,events/second
1685331180,5,0.006106,0.000000,0.000000,0.000000,events/second
1685331210,5,0.005890,0.000000,0.000000,0.000000,events/second
1685331240,5,0.005689,0.000000,0.000000,0.000000,events/second
1685331270,5,0.005501,0.000000,0.000000,0.000000,events/second
1685331301,5,0.005325,0.000000,0.000000,0.000000,events/second
1685331331,19,0.019608,0.000000,0.000000,0.000000,events/second
1685331361,25,0.025025,0.000000,0.000000,0.000000,events/second
1685331391,31,0.030126,0.000000,0.000000,0.000000,events/second
1685331421,37,0.034938,0.000000,0.000000,0.000000,events/second
1685331451,43,0.039485,0.000000,0.000000,0.000000,events/second
1685331481,49,0.043788,0.000000,0.000000,0.000000,events/second
1685331511,55,0.047866,0.000000,0.000000,0.000000,events/second
1685331541,61,0.051737,0.000000,0.000000,0.000000,events/second
1685331571,67,0.055415,0.000000,0.000000,0.000000,events/second
1685331601,73,0.058915,0.000000,0.000000,0.000000,events/second
1685331631,78,0.061462,0.000000,0.000000,0.000000,events/second
1685331661,85,0.065430,0.000000,0.000000,0.000000,events/second
1685331691,89,0.066963,0.000000,0.000000,0.000000,events/second
1685331721,97,0.071370,0.000000,0.000000,0.000000,events/second
1685331751,101,0.072708,0.000000,0.000000,0.000000,events/second
1685331781,109,0.076808,0.000000,0.000000,0.000000,events/second
1685331811,113,0.077977,0.000000,0.000000,0.000000,events/second
1685331841,121,0.081804,0.000000,0.000000,0.000000,events/second
1685331871,125,0.082827,0.000000,0.000000,0.000000,events/second
1685331901,133,0.086410,0.000000,0.000000,0.000000,events/second
1685331931,137,0.087306,0.000000,0.000000,0.000000,events/second
1685331961,146,0.091296,0.000000,0.000000,0.000000,events/second
1685331991,154,0.094525,0.000000,0.000000,0.000000,events/second
1685332021,162,0.097638,0.000000,0.000000,0.000000,events/second
1685332051,166,0.098271,0.000000,0.000000,0.000000,events/second
1685332081,174,0.101209,0.000000,0.000000,0.000000,events/second
1685332111,178,0.101759,0.000000,0.000000,0.000000,events/second
1685332141,186,0.104538,0.000000,0.000000,0.000000,events/second
1685332171,190,0.105015,0.000000,0.000000,0.000000,events/second
1685332201,198,0.107651,0.000000,0.000000,0.000000,events/second
1685332231,202,0.108063,0.000000,0.000000,0.000000,events/second
1685332261,210,0.110568,0.000000,0.000000,0.000000,events/second
1685332291,218,0.112995,0.000000,0.000000,0.000000,events/second
