t,value
1685319750,-1
1685319780,3
1685319810,3
1685319840,3
1685319870,3
1685319900,3
1685319930,-1
1685320110,4
1685320140,4
1685320170,4
1685320200,4
1685320230,4
1685320260,4
1685320290,4
1685320320,4
1685320350,4
1685320380,4
1685320410,4
1685320440,4
1685320470,4
1685320500,4
1685320530,4
1685320560,4
1685320590,4
1685320620,4
1685320650,4
1685320680,4
1685320710,4
1685320740,4
1685320770,4
1685320800,4
1685320830,4
1685320860,4
1685320890,4
1685320920,4
1685320950,3
1685320980,4
1685321010,4
1685321040,4
1685321070,4
1685321100,4
1685321130,-2
1685330370,-2
1685330400,-2
1685330430,-2
1685330460,-2
1685330490,-2
1685330520,-2
1685330550,-2
1685330580,-2
1685330610,-2
1685330640,-2
1685330670,-2
1685330700,-2
1685330730,-2
1685330760,-2
1685330790,-2
1685330820,-2
1685330850,-2
1685330880,-2
1685330910,-2
1685330940,-2
1685330970,-2
1685331000,-2
1685331030,-2
1685331060,-2
1685331090,-2
1685331120,-2
1685331150,-2
1685331180,-2
1685331210,-2
1685331240,-2
1685331270,-2
1685331301,-2
1685331331,2
1685331361,2
1685331391,2
1685331421,2
1685331451,2
1685331481,2
1685331511,2
1685331541,2
1685331571,1
1685331601,2
1685331631,0
1685331661,2
1685331691,2
1685331721,2
1685331751,2
1685331781,2
1685331811,2
1685331841,2
1685331871,2
1685331901,2
1685331931,2
1685331961,2
1685331991,3
1685332021,3
1685332051,3
1685332081,3
1685332111,3
1685332141,3
1685332171,3
1685332201,3
1685332231,3
1685332261,2
1685332291,3
