t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,25,1.702323,0.000000,0.000000,0.000000,events/second
1685319780,117,2.615902,0.000000,0.000000,0.000000,events/second
1685319810,145,1.939874,0.000000,0.000000,0.000000,events/second
1685319840,201,1.918563,0.000000,0.000000,0.000000,events/second
1685319870,229,1.699030,0.000000,0.000000,0.000000,events/second
1685319900,285,1.729368,0.000000,0.000000,0.000000,events/second
1685319930,344,1.765785,0.000000,0.000000,0.000000,events/second
1685320110,135,5.943717,0.000000,0.000000,0.000000,events/second
1685320140,247,4.681251,0.000000,0.000000,0.000000,events/second
1685320170,303,3.660261,0.000000,0.000000,0.000000,events/second
1685320200,415,3.679130,0.000000,0.000000,0.000000,events/second
1685320230,475,3.325834,0.000000,0.000000,0.000000,events/second
1685320260,639,3.697270,0.000000,0.000000,0.000000,events/second
1685320290,691,3.406613,0.000000,0.000000,0.000000,events/second
1685320320,803,3.448576,0.000000,0.000000,0.000000,events/second
1685320350,855,3.252586,0.000000,0.000000,0.000000,events/second
1685320380,959,3.274343,0.000000,0.000000,0.000000,events/second
1685320410,1019,3.155823,0.000000,0.000000,0.000000,events/second
1685320440,1207,3.420229,0.000000,0.000000,0.000000,events/second
1685320470,1263,3.298350,0.000000,0.000000,0.000000,events/second
1685320500,1375,3.329914,0.000000,0.000000,0.000000,events/second
1685320530,1431,3.230730,0.000000,0.000000,0.000000,events/second
1685320560,1555,3.287886,0.000000,0.000000,0.000000,events/second
1685320590,1671,3.322309,0.000000,0.000000,0.000000,events/second
1685320620,1779,3.337835,0.000000,0.000000,0.000000,events/second
1685320650,1835,3.259330,0.000000,0.000000,0.000000,events/second
1685320680,1943,3.276458,0.000000,0.000000,0.000000,events/second
1685320710,1999,3.208498,0.000000,0.000000,0.000000,events/second
1685320740,2107,3.226388,0.000000,0.000000,0.000000,events/second
1685320770,2163,3.166606,0.000000,0.000000,0.000000,events/second
1685320800,2275,3.190355,0.000000,0.000000,0.000000,events/second
