t,value
1685319750,0.0
1685319780,1.0
1685319810,1.0
1685319840,1.0
1685319870,1.0
1685319900,1.0
1685319930,1.0
1685320110,0.0
1685320140,1.0
1685320170,1.0
1685320200,1.0
1685320230,1.0
1685320260,0.9998029012929676
1685320290,1.0
1685320320,1.0
1685320350,1.0
1685320380,1.0
1685320410,1.0
1685320440,1.0
1685320470,1.0
1685320500,1.0
1685320530,1.0
1685320560,1.0
1685320590,1.0
1685320620,1.0
1685320650,1.0
1685320680,1.0
1685320710,1.0
1685320740,1.0
1685320770,1.0
1685320800,1.0
1685320830,1.0
1685320860,1.0
1685320890,1.0
1685320920,1.0
1685320950,1.0
1685320980,0.9976358892729653
1685321010,1.0
1685321040,1.0
1685321070,1.0
1685321100,1.0
1685321130,1.0
1685330370,0.0
1685330400,0.0
1685330430,1.0
1685330460,0.0
1685330490,1.0
1685330520,0.0
1685330550,1.0
1685330580,0.0
1685330610,1.0
1685330640,0.0
1685330670,1.0
1685330700,0.0
1685330730,1.0
1685330760,0.0
1685330790,1.0
1685330820,0.0
1685330850,1.0
1685330880,0.0
1685330910,1.0
1685330940,0.0
1685330970,1.0
1685331000,0.0
1685331030,1.0
1685331060,0.0
1685331090,1.0
1685331120,0.0
1685331150,1.0
1685331180,0.0
1685331210,1.0
1685331240,0.0
1685331270,1.0
1685331301,0.0
1685331331,1.0
1685331361,1.0
1685331391,1.0
1685331421,1.0
1685331451,1.0
1685331481,1.0
1685331511,1.0
1685331541,1.0
1685331571,1.0
1685331601,1.0
1685331631,1.0
1685331661,1.0
1685331691,1.0
1685331721,1.0
1685331751,1.0
1685331781,1.0
1685331811,1.0
1685331841,1.0
1685331871,1.0
1685331901,1.0
1685331931,1.0
1685331961,1.0
1685331991,1.0
1685332021,1.0
1685332051,1.0
1685332081,1.0
1685332111,1.0
1685332141,1.0
1685332171,1.0
1685332201,1.0
1685332231,1.0
1685332261,1.0
1685332291,1.0
