t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,2651,180.167307,0.000000,0.000000,0.000000,events/second
1685319780,3079,68.801808,0.000000,0.000000,0.000000,events/second
1685319810,3388,45.310835,0.000000,0.000000,0.000000,events/second
1685319840,3642,34.754824,0.000000,0.000000,0.000000,events/second
1685319870,3951,29.308343,0.000000,0.000000,0.000000,events/second
1685319900,4205,25.511855,0.000000,0.000000,0.000000,events/second
1685319930,4597,23.593790,0.000000,0.000000,0.000000,events/second
1685320110,16246,714.566600,0.000000,0.000000,0.000000,events/second
1685320140,17007,322.232747,0.000000,0.000000,0.000000,events/second
1685320170,17261,208.476430,0.000000,0.000000,0.000000,events/second
1685320200,18022,159.750619,0.000000,0.000000,0.000000,events/second
1685320230,18277,127.957615,0.000000,0.000000,0.000000,events/second
1685320260,43640,252.480323,0.000000,0.000000,0.000000,events/second
1685320290,43896,216.390297,0.000000,0.000000,0.000000,events/second
1685320320,44669,191.823879,0.000000,0.000000,0.000000,events/second
1685320350,44925,170.893697,0.000000,0.000000,0.000000,events/second
1685320380,45699,156.023499,0.000000,0.000000,0.000000,events/second
1685320410,45955,142.315169,0.000000,0.000000,0.000000,events/second
1685320440,71355,202.187313,0.000000,0.000000,0.000000,events/second
1685320470,71615,187.016751,0.000000,0.000000,0.000000,events/second
1685320500,72389,175.302157,0.000000,0.000000,0.000000,events/second
1685320530,72647,164.007672,0.000000,0.000000,0.000000,events/second
1685320560,73421,155.236188,0.000000,0.000000,0.000000,events/second
1685320590,73937,146.998391,0.000000,0.000000,0.000000,events/second
1685320620,74709,140.168276,0.000000,0.000000,0.000000,events/second
1685320650,74967,133.152956,0.000000,0.000000,0.000000,events/second
1685320680,75743,127.721304,0.000000,0.000000,0.000000,events/second
1685320710,76005,121.989016,0.000000,0.000000,0.000000,events/second
1685320740,76777,117.563725,0.000000,0.000000,0.000000,events/second
1685320770,77035,112.775845,0.000000,0.000000,0.000000,events/second
1685320800,77809,109.113475,0.000000,0.000000,0.000000,events/second
1685320830,78067,105.054579,0.000000,0.000000,0.000000,events/second
1685320860,78841,101.978106,0.000000,0.000000,0.000000,events/second
1685320890,79099,98.487914,0.000000,0.000000,0.000000,events/second
1685320920,79873,95.868891,0.000000,0.000000,0.000000,events/second
1685320950,80387,93.131739,0.000000,0.000000,0.000000,events/second
1685320980,186307,208.589605,0.000000,0.000000,0.000000,events/second
1685321010,186910,202.460295,0.000000,0.000000,0.000000,events/second
1685321040,188228,197.468495,0.000000,0.000000,0.000000,events/second
1685321070,188478,191.695547,0.000000,0.000000,0.000000,events/second
1685321100,189487,187.013982,0.000000,0.000000,0.000000,events/second
1685321130,189821,181.954964,0.000000,0.000000,0.000000,events/second
1685330370,1454,171.213484,0.000000,0.000000,0.000000,events/second
1685330400,1454,37.726994,0.000000,0.000000,0.000000,events/second
1685330430,1966,28.674952,0.000000,0.000000,0.000000,events/second
1685330460,1966,19.945478,0.000000,0.000000,0.000000,events/second
1685330490,2478,19.271734,0.000000,0.000000,0.000000,events/second
1685330520,2478,15.624592,0.000000,0.000000,0.000000,events/second
1685330550,2990,15.852896,0.000000,0.000000,0.000000,events/second
1685330580,2990,13.676410,0.000000,0.000000,0.000000,events/second
1685330610,3502,14.084664,0.000000,0.000000,0.000000,events/second
1685330640,3502,12.567382,0.000000,0.000000,0.000000,events/second
1685330670,4018,13.016877,0.000000,0.000000,0.000000,events/second
1685330700,4018,11.863435,0.000000,0.000000,0.000000,events/second
1685330730,4530,12.286436,0.000000,0.000000,0.000000,events/second
1685330760,4530,11.361644,0.000000,0.000000,0.000000,events/second
1685330790,5042,11.760411,0.000000,0.000000,0.000000,events/second
1685330820,5042,10.990776,0.000000,0.000000,0.000000,events/second
1685330850,5554,11.363345,0.000000,0.000000,0.000000,events/second
1685330880,5554,10.705899,0.000000,0.000000,0.000000,events/second
1685330910,6066,11.053250,0.000000,0.000000,0.000000,events/second
1685330940,6066,10.480181,0.000000,0.000000,0.000000,events/second
1685330970,6582,10.811067,0.000000,0.000000,0.000000,events/second
1685331000,6582,10.303200,0.000000,0.000000,0.000000,events/second
1685331030,7094,10.606403,0.000000,0.000000,0.000000,events/second
1685331060,7094,10.150818,0.000000,0.000000,0.000000,events/second
1685331090,7606,10.435241,0.000000,0.000000,0.000000,events/second
1685331120,7606,10.022479,0.000000,0.000000,0.000000,events/second
1685331150,8118,10.290106,0.000000,0.000000,0.000000,events/second
1685331180,8118,9.913025,0.000000,0.000000,0.000000,events/second
1685331210,8630,10.165628,0.000000,0.000000,0.000000,events/second
1685331240,8630,9.818524,0.000000,0.000000,0.000000,events/second
1685331270,9146,10.062032,0.000000,0.000000,0.000000,events/second
1685331301,9146,9.740339,0.000000,0.000000,0.000000,events/second
1685331331,17408,17.965138,0.000000,0.000000,0.000000,events/second
1685331361,17537,17.554572,0.000000,0.000000,0.000000,events/second
1685331391,18307,17.790854,0.000000,0.000000,0.000000,events/second
1685331421,18436,17.408451,0.000000,0.000000,0.000000,events/second
1685331451,19206,17.635874,0.000000,0.000000,0.000000,events/second
1685331481,19335,17.278128,0.000000,0.000000,0.000000,events/second
1685331511,20105,17.497012,0.000000,0.000000,0.000000,events/second
1685331541,20234,17.161124,0.000000,0.000000,0.000000,events/second
1685331571,21006,17.373717,0.000000,0.000000,0.000000,events/second
1685331601,21137,17.058586,0.000000,0.000000,0.000000,events/second
1685331631,21780,17.161839,0.000000,0.000000,0.000000,events/second
1685331661,22036,16.962458,0.000000,0.000000,0.000000,events/second
1685331691,22679,17.063303,0.000000,0.000000,0.000000,events/second
1685331721,22935,16.874885,0.000000,0.000000,0.000000,events/second
1685331751,23578,16.973147,0.000000,0.000000,0.000000,events/second
1685331781,23834,16.794662,0.000000,0.000000,0.000000,events/second
1685331811,24477,16.890585,0.000000,0.000000,0.000000,events/second
1685331841,24733,16.720921,0.000000,0.000000,0.000000,events/second
1685331871,25378,16.815725,0.000000,0.000000,0.000000,events/second
1685331901,25636,16.655573,0.000000,0.000000,0.000000,events/second
1685331931,26281,16.748045,0.000000,0.000000,0.000000,events/second
1685331961,26637,16.656449,0.000000,0.000000,0.000000,events/second
1685331991,1860968,1142.256965,0.000000,0.000000,0.000000,events/second
1685332021,1861226,1121.755015,0.000000,0.000000,0.000000,events/second
1685332051,1861867,1102.207896,0.000000,0.000000,0.000000,events/second
1685332081,1862125,1083.118260,0.000000,0.000000,0.000000,events/second
1685332111,1862766,1064.897308,0.000000,0.000000,0.000000,events/second
1685332141,1863024,1047.076421,0.000000,0.000000,0.000000,events/second
1685332171,1863669,1030.065642,0.000000,0.000000,0.000000,events/second
1685332201,1863927,1013.398384,0.000000,0.000000,0.000000,events/second
1685332231,1864568,997.474243,0.000000,0.000000,0.000000,events/second
1685332261,1864826,981.850468,0.000000,0.000000,0.000000,events/second
1685332291,3699157,1917.351642,0.000000,0.000000,0.000000,events/second
