t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,242,16.440773,0.000000,0.000000,0.000000,events/second
1685319780,242,5.407345,0.000000,0.000000,0.000000,events/second
1685319810,242,3.236393,0.000000,0.000000,0.000000,events/second
1685319840,242,2.309305,0.000000,0.000000,0.000000,events/second
1685319870,242,1.795116,0.000000,0.000000,0.000000,events/second
1685319900,242,1.468202,0.000000,0.000000,0.000000,events/second
1685319930,242,1.242035,0.000000,0.000000,0.000000,events/second
1685320110,301,13.233000,0.000000,0.000000,0.000000,events/second
1685320140,301,5.702669,0.000000,0.000000,0.000000,events/second
1685320170,301,3.635283,0.000000,0.000000,0.000000,events/second
1685320200,301,2.668038,0.000000,0.000000,0.000000,events/second
1685320230,301,2.107251,0.000000,0.000000,0.000000,events/second
1685320260,306,1.770333,0.000000,0.000000,0.000000,events/second
1685320290,306,1.508434,0.000000,0.000000,0.000000,events/second
1685320320,306,1.314047,0.000000,0.000000,0.000000,events/second
1685320350,306,1.164001,0.000000,0.000000,0.000000,events/second
1685320380,306,1.044718,0.000000,0.000000,0.000000,events/second
1685320410,306,0.947622,0.000000,0.000000,0.000000,events/second
1685320440,306,0.867055,0.000000,0.000000,0.000000,events/second
1685320470,306,0.799087,0.000000,0.000000,0.000000,events/second
1685320500,306,0.741024,0.000000,0.000000,0.000000,events/second
1685320530,306,0.690819,0.000000,0.000000,0.000000,events/second
1685320560,306,0.646980,0.000000,0.000000,0.000000,events/second
1685320590,306,0.608372,0.000000,0.000000,0.000000,events/second
1685320620,306,0.574110,0.000000,0.000000,0.000000,events/second
1685320650,306,0.543500,0.000000,0.000000,0.000000,events/second
1685320680,306,0.515988,0.000000,0.000000,0.000000,events/second
1685320710,306,0.491131,0.000000,0.000000,0.000000,events/second
1685320740,306,0.468556,0.000000,0.000000,0.000000,events/second
1685320770,306,0.447968,0.000000,0.000000,0.000000,events/second
1685320800,306,0.429109,0.000000,0.000000,0.000000,events/second
1685320830,306,0.411781,0.000000,0.000000,0.000000,events/second
1685320860,306,0.395799,0.000000,0.000000,0.000000,events/second
1685320890,306,0.381006,0.000000,0.000000,0.000000,events/second
1685320920,306,0.367280,0.000000,0.000000,0.000000,events/second
1685320950,306,0.354512,0.000000,0.000000,0.000000,events/second
1685320980,557,0.623616,0.000000,0.000000,0.000000,events/second
1685321010,557,0.603338,0.000000,0.000000,0.000000,events/second
1685321040,557,0.584342,0.000000,0.000000,0.000000,events/second
1685321070,557,0.566507,0.000000,0.000000,0.000000,events/second
1685321100,557,0.549729,0.000000,0.000000,0.000000,events/second
1685321130,557,0.533916,0.000000,0.000000,0.000000,events/second
1685330370,560,65.872731,0.000000,0.000000,0.000000,events/second
1685330400,560,14.529826,0.000000,0.000000,0.000000,events/second
1685330430,560,8.167673,0.000000,0.000000,0.000000,events/second
1685330460,560,5.681240,0.000000,0.000000,0.000000,events/second
1685330490,560,4.355150,0.000000,0.000000,0.000000,events/second
1685330520,560,3.530952,0.000000,0.000000,0.000000,events/second
1685330550,560,2.969074,0.000000,0.000000,0.000000,events/second
1685330580,560,2.561453,0.000000,0.000000,0.000000,events/second
1685330610,560,2.252248,0.000000,0.000000,0.000000,events/second
1685330640,560,2.009623,0.000000,0.000000,0.000000,events/second
1685330670,560,1.814191,0.000000,0.000000,0.000000,events/second
1685330700,560,1.653434,0.000000,0.000000,0.000000,events/second
1685330730,560,1.518848,0.000000,0.000000,0.000000,events/second
1685330760,560,1.404525,0.000000,0.000000,0.000000,events/second
1685330790,560,1.306190,0.000000,0.000000,0.000000,events/second
1685330820,560,1.220709,0.000000,0.000000,0.000000,events/second
1685330850,560,1.145742,0.000000,0.000000,0.000000,events/second
1685330880,560,1.079454,0.000000,0.000000,0.000000,events/second
1685330910,560,1.020410,0.000000,0.000000,0.000000,events/second
1685330940,560,0.967505,0.000000,0.000000,0.000000,events/second
1685330970,560,0.919809,0.000000,0.000000,0.000000,events/second
1685331000,560,0.876600,0.000000,0.000000,0.000000,events/second
1685331030,560,0.837267,0.000000,0.000000,0.000000,events/second
1685331060,560,0.801304,0.000000,0.000000,0.000000,events/second
1685331090,560,0.768305,0.000000,0.000000,0.000000,events/second
1685331120,560,0.737915,0.000000,0.000000,0.000000,events/second
1685331150,560,0.709836,0.000000,0.000000,0.000000,events/second
1685331180,560,0.683824,0.000000,0.000000,0.000000,events/second
1685331210,560,0.659646,0.000000,0.000000,0.000000,events/second
1685331240,560,0.637122,0.000000,0.000000,0.000000,events/second
1685331270,560,0.616087,0.000000,0.000000,0.000000,events/second
1685331301,560,0.596390,0.000000,0.000000,0.000000,events/second
1685331331,560,0.577922,0.000000,0.000000,0.000000,events/second
1685331361,560,0.560560,0.000000,0.000000,0.000000,events/second
1685331391,560,0.544211,0.000000,0.000000,0.000000,events/second
1685331421,560,0.528787,0.000000,0.000000,0.000000,events/second
1685331451,560,0.514218,0.000000,0.000000,0.000000,events/second
1685331481,560,0.500426,0.000000,0.000000,0.000000,events/second
1685331511,560,0.487357,0.000000,0.000000,0.000000,events/second
1685331541,560,0.474954,0.000000,0.000000,0.000000,events/second
1685331571,560,0.463166,0.000000,0.000000,0.000000,events/second
1685331601,560,0.451947,0.000000,0.000000,0.000000,events/second
1685331631,560,0.441259,0.000000,0.000000,0.000000,events/second
1685331661,560,0.431066,0.000000,0.000000,0.000000,events/second
1685331691,560,0.421334,0.000000,0.000000,0.000000,events/second
1685331721,560,0.412031,0.000000,0.000000,0.000000,events/second
1685331751,560,0.403128,0.000000,0.000000,0.000000,events/second
1685331781,560,0.394604,0.000000,0.000000,0.000000,events/second
1685331811,560,0.386433,0.000000,0.000000,0.000000,events/second
1685331841,560,0.378592,0.000000,0.000000,0.000000,events/second
1685331871,560,0.371061,0.000000,0.000000,0.000000,events/second
1685331901,560,0.363829,0.000000,0.000000,0.000000,events/second
1685331931,560,0.356870,0.000000,0.000000,0.000000,events/second
1685331961,560,0.350175,0.000000,0.000000,0.000000,events/second
1685331991,560,0.343726,0.000000,0.000000,0.000000,events/second
1685332021,560,0.337510,0.000000,0.000000,0.000000,events/second
1685332051,560,0.331515,0.000000,0.000000,0.000000,events/second
1685332081,560,0.325728,0.000000,0.000000,0.000000,events/second
1685332111,560,0.320138,0.000000,0.000000,0.000000,events/second
1685332141,560,0.314737,0.000000,0.000000,0.000000,events/second
1685332171,560,0.309517,0.000000,0.000000,0.000000,events/second
1685332201,560,0.304466,0.000000,0.000000,0.000000,events/second
1685332231,560,0.299579,0.000000,0.000000,0.000000,events/second
1685332261,560,0.294846,0.000000,0.000000,0.000000,events/second
1685332291,560,0.290260,0.000000,0.000000,0.000000,events/second
