t,value
1685319750,9223372036854775807
1685319780,9223372036854769503
1685319810,9223372036854768671
1685319840,9223372036854767071
1685319870,9223372036854766303
1685319900,9223372036854764703
1685319930,9223372036854774823
1685320110,9223372036854767023
1685320140,9223372036854763887
1685320170,9223372036854762415
1685320200,9223372036854759279
1685320230,9223372036854757615
1685320260,9223372036854753007
1685320290,9223372036854751599
1685320320,9223372036854748399
1685320350,9223372036854746927
1685320380,9223372036854744047
1685320410,9223372036854742383
1685320440,9223372036854737007
1685320470,9223372036854735471
1685320500,9223372036854732335
1685320530,9223372036854730799
1685320560,9223372036854727407
1685320590,9223372036854724143
1685320620,9223372036854721071
1685320650,9223372036854719535
1685320680,9223372036854716463
1685320710,9223372036854714927
1685320740,9223372036854711919
1685320770,9223372036854710319
1685320800,9223372036854707183
1685320830,9223372036854705583
1685320860,9223372036854702511
1685320890,9223372036854700911
1685320920,9223372036854697775
1685320950,9223372036854694127
1685320980,9223372036854689583
1685321010,9223372036854685935
1685321040,9223372036854681071
1685321070,9223372036854679535
1685321100,9223372036854676399
1685321130,9223372036854774823
1685330370,9223372036854775807
1685330400,9223372036854775807
1685330430,9223372036854775807
1685330460,9223372036854775807
1685330490,9223372036854775807
1685330520,9223372036854775807
1685330550,9223372036854775807
1685330580,9223372036854775807
1685330610,9223372036854775807
1685330640,9223372036854775807
1685330670,9223372036854775807
1685330700,9223372036854775807
1685330730,9223372036854775807
1685330760,9223372036854775807
1685330790,9223372036854775807
1685330820,9223372036854775807
1685330850,9223372036854775807
1685330880,9223372036854775807
1685330910,9223372036854775807
1685330940,9223372036854775807
1685330970,9223372036854775807
1685331000,9223372036854775807
1685331030,9223372036854775807
1685331060,9223372036854775807
1685331090,9223372036854775807
1685331120,9223372036854775807
1685331150,9223372036854775807
1685331180,9223372036854775807
1685331210,9223372036854775807
1685331240,9223372036854775807
1685331270,9223372036854775807
1685331301,9223372036854775807
1685331331,9223372036854769695
1685331361,9223372036854768671
1685331391,9223372036854767263
1685331421,9223372036854766303
1685331451,9223372036854764959
1685331481,9223372036854763935
1685331511,9223372036854762591
1685331541,9223372036854761631
1685331571,9223372036854760415
1685331601,9223372036854759263
1685331631,9223372036854757303
1685331661,9223372036854756959
1685331691,9223372036854755999
1685331721,9223372036854754527
1685331751,9223372036854753695
1685331781,9223372036854752159
1685331811,9223372036854751263
1685331841,9223372036854749855
1685331871,9223372036854749023
1685331901,9223372036854747487
1685331931,9223372036854746719
1685331961,9223372036854743367
1685331991,9223372036854741831
1685332021,9223372036854740231
1685332051,9223372036854739527
1685332081,9223372036854737863
1685332111,9223372036854737095
1685332141,9223372036854735559
1685332171,9223372036854734727
1685332201,9223372036854733191
1685332231,9223372036854732423
1685332261,9223372036854730759
1685332291,9223372036854729223
