t,value
1685319750,20971520
1685319780,100669600
1685319810,100670432
1685319840,100672032
1685319870,100672800
1685319900,100674400
1685319930,100664280
1685320110,100672080
1685320140,100675216
1685320170,100676688
1685320200,100679824
1685320230,100681488
1685320260,100686096
1685320290,100687504
1685320320,100690704
1685320350,100692176
1685320380,100695056
1685320410,100696720
1685320440,100702096
1685320470,100703632
1685320500,100706768
1685320530,100708304
1685320560,100711696
1685320590,100714960
1685320620,100718032
1685320650,100719568
1685320680,100722640
1685320710,100724176
1685320740,100727184
1685320770,100728784
1685320800,100731920
1685320830,100733520
1685320860,100736592
1685320890,100738192
1685320920,100741328
1685320950,100744976
1685320980,100749520
1685321010,100753168
1685321040,100758032
1685321070,100759568
1685321100,100762704
1685321130,100664280
1685330370,25165824
1685330400,25165824
1685330430,25165824
1685330460,25165824
1685330490,25165824
1685330520,25165824
1685330550,25165824
1685330580,25165824
1685330610,25165824
1685330640,25165824
1685330670,25165824
1685330700,25165824
1685330730,25165824
1685330760,25165824
1685330790,25165824
1685330820,25165824
1685330850,25165824
1685330880,25165824
1685330910,25165824
1685330940,25165824
1685330970,25165824
1685331000,25165824
1685331030,25165824
1685331060,25165824
1685331090,25165824
1685331120,25165824
1685331150,25165824
1685331180,25165824
1685331210,25165824
1685331240,25165824
1685331270,25165824
1685331301,25165824
1685331331,100669408
1685331361,100670432
1685331391,100671840
1685331421,100672800
1685331451,100674144
1685331481,100675168
1685331511,100676512
1685331541,100677472
1685331571,100678688
1685331601,100679840
1685331631,100681800
1685331661,100682144
1685331691,100683104
1685331721,100684576
1685331751,100685408
1685331781,100686944
1685331811,100687840
1685331841,100689248
1685331871,100690080
1685331901,100691616
1685331931,100692384
1685331961,100695736
1685331991,100697272
1685332021,100698872
1685332051,100699576
1685332081,100701240
1685332111,100702008
1685332141,100703544
1685332171,100704376
1685332201,100705912
1685332231,100706680
1685332261,100708344
1685332291,100709880
