t,value
1685319750,0
1685319780,6304
1685319810,7136
1685319840,8736
1685319870,9504
1685319900,11104
1685319930,984
1685320110,8784
1685320140,11920
1685320170,13392
1685320200,16528
1685320230,18192
1685320260,22800
1685320290,24208
1685320320,27408
1685320350,28880
1685320380,31760
1685320410,33424
1685320440,38800
1685320470,40336
1685320500,43472
1685320530,45008
1685320560,48400
1685320590,51664
1685320620,54736
1685320650,56272
1685320680,59344
1685320710,60880
1685320740,63888
1685320770,65488
1685320800,68624
1685320830,70224
1685320860,73296
1685320890,74896
1685320920,78032
1685320950,81680
1685320980,86224
1685321010,89872
1685321040,94736
1685321070,96272
1685321100,99408
1685321130,984
1685330370,0
1685330400,0
1685330430,0
1685330460,0
1685330490,0
1685330520,0
1685330550,0
1685330580,0
1685330610,0
1685330640,0
1685330670,0
1685330700,0
1685330730,0
1685330760,0
1685330790,0
1685330820,0
1685330850,0
1685330880,0
1685330910,0
1685330940,0
1685330970,0
1685331000,0
1685331030,0
1685331060,0
1685331090,0
1685331120,0
1685331150,0
1685331180,0
1685331210,0
1685331240,0
1685331270,0
1685331301,0
1685331331,6112
1685331361,7136
1685331391,8544
1685331421,9504
1685331451,10848
1685331481,11872
1685331511,13216
1685331541,14176
1685331571,15392
1685331601,16544
1685331631,18504
1685331661,18848
1685331691,19808
1685331721,21280
1685331751,22112
1685331781,23648
1685331811,24544
1685331841,25952
1685331871,26784
1685331901,28320
1685331931,29088
1685331961,32440
1685331991,33976
1685332021,35576
1685332051,36280
1685332081,37944
1685332111,38712
1685332141,40248
1685332171,41080
1685332201,42616
1685332231,43384
1685332261,45048
1685332291,46584
