t,value
1685319750,-1
1685319780,-1
1685319810,-1
1685319840,-1
1685319870,-1
1685319900,-1
1685319930,-1
1685320110,-1
1685320140,-1
1685320170,-1
1685320200,-1
1685320230,-1
1685320260,-1
1685320290,-1
1685320320,-1
1685320350,-1
1685320380,-1
1685320410,-1
1685320440,-1
1685320470,-1
1685320500,-1
1685320530,-1
1685320560,-1
1685320590,-1
1685320620,-1
1685320650,-1
1685320680,-1
1685320710,-1
1685320740,-1
1685320770,-1
1685320800,-1
1685320830,-1
1685320860,-1
1685320890,-1
1685320920,-1
1685320950,-1
1685320980,-1
1685321010,-1
1685321040,-1
1685321070,-1
1685321100,-1
1685321130,-1
1685330370,-1
1685330400,-1
1685330430,-1
1685330460,-1
1685330490,-1
1685330520,-1
1685330550,-1
1685330580,-1
1685330610,-1
1685330640,-1
1685330670,-1
1685330700,-1
1685330730,-1
1685330760,-1
1685330790,-1
1685330820,-1
1685330850,-1
1685330880,-1
1685330910,-1
1685330940,-1
1685330970,-1
1685331000,-1
1685331030,-1
1685331060,-1
1685331090,-1
1685331120,-1
1685331150,-1
1685331180,-1
1685331210,-1
1685331240,-1
1685331270,-1
1685331301,-1
1685331331,-1
1685331361,-1
1685331391,-1
1685331421,-1
1685331451,-1
1685331481,-1
1685331511,-1
1685331541,-1
1685331571,-1
1685331601,-1
1685331631,-1
1685331661,-1
1685331691,-1
1685331721,-1
1685331751,-1
1685331781,-1
1685331811,-1
1685331841,-1
1685331871,-1
1685331901,-1
1685331931,-1
1685331961,-1
1685331991,-1
1685332021,-1
1685332051,-1
1685332081,-1
1685332111,-1
1685332141,-1
1685332171,-1
1685332201,-1
1685332231,-1
1685332261,-1
1685332291,-1
