t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1685319750,75,5.096142,0.000000,0.000000,0.000000,events/second
1685319780,102,2.279595,0.000000,0.000000,0.000000,events/second
1685319810,102,1.364266,0.000000,0.000000,0.000000,events/second
1685319840,102,0.973428,0.000000,0.000000,0.000000,events/second
1685319870,102,0.756671,0.000000,0.000000,0.000000,events/second
1685319900,102,0.618863,0.000000,0.000000,0.000000,events/second
1685319930,102,0.523527,0.000000,0.000000,0.000000,events/second
1685320110,178,7.824152,0.000000,0.000000,0.000000,events/second
1685320140,178,3.372821,0.000000,0.000000,0.000000,events/second
1685320170,184,2.222434,0.000000,0.000000,0.000000,events/second
1685320200,184,1.631069,0.000000,0.000000,0.000000,events/second
1685320230,184,1.288219,0.000000,0.000000,0.000000,events/second
1685320260,316,1.828266,0.000000,0.000000,0.000000,events/second
1685320290,316,1.557788,0.000000,0.000000,0.000000,events/second
1685320320,316,1.357034,0.000000,0.000000,0.000000,events/second
1685320350,316,1.202074,0.000000,0.000000,0.000000,events/second
1685320380,316,1.078887,0.000000,0.000000,0.000000,events/second
1685320410,319,0.987903,0.000000,0.000000,0.000000,events/second
1685320440,406,1.150430,0.000000,0.000000,0.000000,events/second
1685320470,406,1.060247,0.000000,0.000000,0.000000,events/second
1685320500,406,0.983207,0.000000,0.000000,0.000000,events/second
1685320530,406,0.916593,0.000000,0.000000,0.000000,events/second
1685320560,409,0.864768,0.000000,0.000000,0.000000,events/second
1685320590,409,0.813163,0.000000,0.000000,0.000000,events/second
1685320620,409,0.767367,0.000000,0.000000,0.000000,events/second
1685320650,409,0.726452,0.000000,0.000000,0.000000,events/second
1685320680,412,0.694738,0.000000,0.000000,0.000000,events/second
1685320710,412,0.661269,0.000000,0.000000,0.000000,events/second
1685320740,412,0.630873,0.000000,0.000000,0.000000,events/second
1685320770,412,0.603153,0.000000,0.000000,0.000000,events/second
1685320800,412,0.577761,0.000000,0.000000,0.000000,events/second
1685320830,414,0.557122,0.000000,0.000000,0.000000,events/second
1685320860,414,0.535497,0.000000,0.000000,0.000000,events/second
1685320890,414,0.515483,0.000000,0.000000,0.000000,events/second
1685320920,414,0.496913,0.000000,0.000000,0.000000,events/second
1685320950,482,0.558420,0.000000,0.000000,0.000000,events/second
1685320980,626,0.700874,0.000000,0.000000,0.000000,events/second
1685321010,626,0.678084,0.000000,0.000000,0.000000,events/second
1685321040,631,0.661980,0.000000,0.000000,0.000000,events/second
1685321070,631,0.641774,0.000000,0.000000,0.000000,events/second
1685321100,631,0.622767,0.000000,0.000000,0.000000,events/second
1685321130,631,0.604854,0.000000,0.000000,0.000000,events/second
1685330370,130,15.282184,0.000000,0.000000,0.000000,events/second
1685330400,130,3.373515,0.000000,0.000000,0.000000,events/second
1685330430,130,1.896229,0.000000,0.000000,0.000000,events/second
1685330460,130,1.318939,0.000000,0.000000,0.000000,events/second
1685330490,130,1.011064,0.000000,0.000000,0.000000,events/second
1685330520,130,0.819716,0.000000,0.000000,0.000000,events/second
1685330550,130,0.689270,0.000000,0.000000,0.000000,events/second
1685330580,130,0.594639,0.000000,0.000000,0.000000,events/second
1685330610,130,0.522856,0.000000,0.000000,0.000000,events/second
1685330640,130,0.466530,0.000000,0.000000,0.000000,events/second
1685330670,130,0.421160,0.000000,0.000000,0.000000,events/second
1685330700,130,0.383840,0.000000,0.000000,0.000000,events/second
1685330730,130,0.352595,0.000000,0.000000,0.000000,events/second
1685330760,130,0.326055,0.000000,0.000000,0.000000,events/second
1685330790,130,0.303227,0.000000,0.000000,0.000000,events/second
1685330820,130,0.283383,0.000000,0.000000,0.000000,events/second
1685330850,130,0.265979,0.000000,0.000000,0.000000,events/second
1685330880,130,0.250591,0.000000,0.000000,0.000000,events/second
1685330910,130,0.236883,0.000000,0.000000,0.000000,events/second
1685330940,130,0.224602,0.000000,0.000000,0.000000,events/second
1685330970,130,0.213529,0.000000,0.000000,0.000000,events/second
1685331000,130,0.203498,0.000000,0.000000,0.000000,events/second
1685331030,130,0.194367,0.000000,0.000000,0.000000,events/second
1685331060,130,0.186019,0.000000,0.000000,0.000000,events/second
1685331090,130,0.178358,0.000000,0.000000,0.000000,events/second
1685331120,130,0.171303,0.000000,0.000000,0.000000,events/second
1685331150,130,0.164785,0.000000,0.000000,0.000000,events/second
1685331180,130,0.158746,0.000000,0.000000,0.000000,events/second
1685331210,130,0.153133,0.000000,0.000000,0.000000,events/second
1685331240,130,0.147904,0.000000,0.000000,0.000000,events/second
1685331270,130,0.143021,0.000000,0.000000,0.000000,events/second
1685331301,130,0.138449,0.000000,0.000000,0.000000,events/second
1685331331,157,0.162026,0.000000,0.000000,0.000000,events/second
1685331361,157,0.157158,0.000000,0.000000,0.000000,events/second
1685331391,164,0.159377,0.000000,0.000000,0.000000,events/second
1685331421,164,0.154860,0.000000,0.000000,0.000000,events/second
1685331451,164,0.150593,0.000000,0.000000,0.000000,events/second
1685331481,164,0.146554,0.000000,0.000000,0.000000,events/second
1685331511,164,0.142727,0.000000,0.000000,0.000000,events/second
1685331541,164,0.139094,0.000000,0.000000,0.000000,events/second
1685331571,164,0.135642,0.000000,0.000000,0.000000,events/second
1685331601,164,0.132356,0.000000,0.000000,0.000000,events/second
1685331631,170,0.133954,0.000000,0.000000,0.000000,events/second
1685331661,170,0.130860,0.000000,0.000000,0.000000,events/second
1685331691,170,0.127906,0.000000,0.000000,0.000000,events/second
1685331721,170,0.125081,0.000000,0.000000,0.000000,events/second
1685331751,170,0.122379,0.000000,0.000000,0.000000,events/second
1685331781,170,0.119791,0.000000,0.000000,0.000000,events/second
1685331811,170,0.117310,0.000000,0.000000,0.000000,events/second
1685331841,170,0.114930,0.000000,0.000000,0.000000,events/second
1685331871,170,0.112644,0.000000,0.000000,0.000000,events/second
1685331901,170,0.110448,0.000000,0.000000,0.000000,events/second
1685331931,176,0.112160,0.000000,0.000000,0.000000,events/second
1685331961,277,0.173212,0.000000,0.000000,0.000000,events/second
1685331991,338,0.207464,0.000000,0.000000,0.000000,events/second
1685332021,340,0.204918,0.000000,0.000000,0.000000,events/second
1685332051,340,0.201277,0.000000,0.000000,0.000000,events/second
1685332081,340,0.197764,0.000000,0.000000,0.000000,events/second
1685332111,340,0.194370,0.000000,0.000000,0.000000,events/second
1685332141,340,0.191091,0.000000,0.000000,0.000000,events/second
1685332171,340,0.187921,0.000000,0.000000,0.000000,events/second
1685332201,340,0.184855,0.000000,0.000000,0.000000,events/second
1685332231,340,0.181888,0.000000,0.000000,0.000000,events/second
1685332261,433,0.227980,0.000000,0.000000,0.000000,events/second
