t,value
1685319750,70808096
1685319780,70808096
1685319810,70808096
1685319840,70808096
1685319870,70808096
1685319900,70808096
1685319930,70808096
1685320110,357801472
1685320140,357801472
1685320170,357801472
1685320200,357801472
1685320230,357801472
1685320260,357801472
1685320290,357801472
1685320320,357801472
1685320350,357801472
1685320380,357801472
1685320410,357801472
1685320440,357801472
1685320470,357801472
1685320500,357801472
1685320530,357801472
1685320560,357801472
1685320590,357801472
1685320620,357801472
1685320650,357801472
1685320680,357801472
1685320710,357801472
1685320740,357801472
1685320770,357801472
1685320800,357801472
1685320830,357801472
1685320860,357801472
1685320890,357801472
1685320920,357801472
1685320950,357801472
1685320980,357801472
1685321010,357801472
1685321040,357801472
1685321070,357801472
1685321100,357801472
1685321130,357801472
1685330370,356389376
1685330400,356389376
1685330430,356389376
1685330460,356389376
1685330490,356389376
1685330520,356389376
1685330550,356389376
1685330580,356389376
1685330610,356389376
1685330640,356389376
1685330670,356389376
1685330700,356389376
1685330730,356389376
1685330760,356389376
1685330790,356389376
1685330820,356389376
1685330850,356389376
1685330880,356389376
1685330910,356389376
1685330940,356389376
1685330970,356389376
1685331000,356389376
1685331030,356389376
1685331060,356389376
1685331090,356389376
1685331120,356389376
1685331150,356389376
1685331180,356389376
1685331210,356389376
1685331240,356389376
1685331270,356389376
1685331301,356389376
1685331331,356389376
1685331361,356389376
1685331391,356389376
1685331421,356389376
1685331451,356389376
1685331481,356389376
1685331511,356389376
1685331541,356389376
1685331571,356389376
1685331601,356389376
1685331631,356389376
1685331661,356389376
1685331691,356389376
1685331721,356389376
1685331751,356389376
1685331781,356389376
1685331811,356389376
1685331841,356389376
1685331871,356389376
1685331901,356389376
1685331931,356389376
1685331961,356389376
1685331991,356389376
1685332021,356389376
1685332051,356389376
1685332081,356389376
1685332111,356389376
1685332141,356389376
1685332171,356389376
1685332201,356389376
1685332231,356389376
1685332261,356389376
1685332291,356389376
