t,value
1685319750,724
1685319780,724
1685319810,596
1685319840,596
1685319870,596
1685319900,596
1685319930,17
1685320110,725
1685320140,596
1685320170,596
1685320200,596
1685320230,596
1685320260,600
1685320290,600
1685320320,600
1685320350,600
1685320380,600
1685320410,600
1685320440,604
1685320470,604
1685320500,604
1685320530,604
1685320560,604
1685320590,604
1685320620,604
1685320650,604
1685320680,604
1685320710,604
1685320740,604
1685320770,604
1685320800,604
1685320830,604
1685320860,604
1685320890,604
1685320920,604
1685320950,608
1685320980,608
1685321010,608
1685321040,608
1685321070,608
1685321100,608
1685321130,29
1685330370,725
1685330400,725
1685330430,596
1685330460,596
1685330490,596
1685330520,596
1685330550,596
1685330580,596
1685330610,596
1685330640,596
1685330670,596
1685330700,596
1685330730,596
1685330760,596
1685330790,596
1685330820,596
1685330850,596
1685330880,596
1685330910,596
1685330940,596
1685330970,596
1685331000,596
1685331030,596
1685331060,596
1685331090,596
1685331120,596
1685331150,596
1685331180,596
1685331210,596
1685331240,596
1685331270,596
1685331301,596
1685331331,596
1685331361,596
1685331391,596
1685331421,596
1685331451,596
1685331481,596
1685331511,596
1685331541,596
1685331571,596
1685331601,596
1685331631,596
1685331661,596
1685331691,596
1685331721,596
1685331751,596
1685331781,596
1685331811,596
1685331841,596
1685331871,596
1685331901,596
1685331931,596
1685331961,600
1685331991,600
1685332021,600
1685332051,600
1685332081,600
1685332111,600
1685332141,600
1685332171,600
1685332201,600
1685332231,600
1685332261,604
1685332291,604
