t,value
1685319750,27262976
1685319780,154140672
1685319810,169869312
1685319840,185597952
1685319870,226492416
1685319900,253755392
1685319930,286261248
1685320110,139460608
1685320140,238026752
1685320170,42991616
1685320200,142606336
1685320230,204472320
1685320260,29360128
1685320290,65011712
1685320320,135266304
1685320350,169869312
1685320380,239075328
1685320410,9437184
1685320440,58720256
1685320470,92274688
1685320500,162529280
1685320530,196083712
1685320560,24117248
1685320590,91226112
1685320620,160432128
1685320650,193986560
1685320680,16777216
1685320710,50331648
1685320740,119537664
1685320770,153092096
1685320800,221249536
1685320830,9437184
1685320860,77594624
1685320890,111149056
1685320920,179306496
1685320950,246415360
1685320980,76546048
1685321010,196083712
1685321040,3145728
1685321070,37748736
1685321100,104857600
1685321130,174063616
1685330370,89128960
1685330400,98566144
1685330430,115343360
1685330460,116391936
1685330490,122683392
1685330520,123731968
1685330550,130023424
1685330580,131072000
1685330610,136314880
1685330640,138412032
1685330670,143654912
1685330700,144703488
1685330730,149946368
1685330760,152043520
1685330790,157286400
1685330820,158334976
1685330850,163577856
1685330880,165675008
1685330910,170917888
1685330940,171966464
1685330970,178257920
1685331000,180355072
1685331030,185597952
1685331060,186646528
1685331090,191889408
1685331120,193986560
1685331150,198180864
1685331180,200278016
1685331210,205520896
1685331240,206569472
1685331270,211812352
1685331301,212860928
1685331331,201326592
1685331361,221249536
1685331391,1048576
1685331421,41943040
1685331451,99614720
1685331481,119537656
1685331511,174063608
1685331541,193986552
1685331571,231735288
1685331601,250609656
1685331631,8388608
1685331661,41943040
1685331691,65011712
1685331721,98566144
1685331751,119537664
1685331781,153092096
1685331811,174063616
1685331841,207618048
1685331871,228589568
1685331901,261095424
1685331931,15728640
1685331961,10485760
1685331991,263192576
1685332021,22020096
1685332051,45088768
1685332081,78643200
1685332111,99614720
1685332141,133169152
1685332171,155189248
1685332201,188743680
1685332231,210763776
1685332261,242221056
1685332291,189792256
