t,value
1685319750,48467968
1685319780,60600320
1685319810,60600320
1685319840,60600320
1685319870,60600320
1685319900,60600320
1685319930,60600320
1685320110,173303296
1685320140,173303296
1685320170,173303296
1685320200,173303296
1685320230,173303296
1685320260,204857344
1685320290,204857344
1685320320,204857344
1685320350,204857344
1685320380,204857344
1685320410,205102088
1685320440,226158592
1685320470,226158592
1685320500,226158592
1685320530,226158592
1685320560,226372096
1685320590,226372096
1685320620,226372096
1685320650,226372096
1685320680,226608640
1685320710,226608640
1685320740,226608640
1685320770,226608640
1685320800,226608640
1685320830,226805248
1685320860,226805248
1685320890,226805248
1685320920,226805248
1685320950,138719744
1685320980,165870592
1685321010,165870592
1685321040,166168576
1685321070,166168576
1685321100,166168576
1685321130,166168576
1685330370,173539328
1685330400,173539328
1685330430,173539328
1685330460,173539328
1685330490,173539328
1685330520,173539328
1685330550,173539328
1685330580,173539328
1685330610,173539328
1685330640,173539328
1685330670,173539328
1685330700,173539328
1685330730,173539328
1685330760,173539328
1685330790,173539328
1685330820,173539328
1685330850,173539328
1685330880,173539328
1685330910,173539328
1685330940,173539328
1685330970,173539328
1685331000,173539328
1685331030,173539328
1685331060,173539328
1685331090,173539328
1685331120,173539328
1685331150,173539328
1685331180,173539328
1685331210,173539328
1685331240,173539328
1685331270,173539328
1685331301,173539328
1685331331,172043264
1685331361,172043264
1685331391,172043264
1685331421,172043264
1685331451,172043264
1685331481,172043264
1685331511,172043264
1685331541,172043264
1685331571,172043264
1685331601,172043264
1685331631,172043264
1685331661,172043264
1685331691,172043264
1685331721,172043264
1685331751,172043264
1685331781,172043264
1685331811,172043264
1685331841,172043264
1685331871,172043264
1685331901,172043264
1685331931,172043264
1685331961,198888960
1685331991,204311552
1685332021,204416000
1685332051,204416000
1685332081,204416000
1685332111,204416000
1685332141,204416000
1685332171,204416000
1685332201,204416000
1685332231,204416000
1685332261,222561288
1685332291,223492096
