t,value
1685319750,115
1685319780,135
1685319810,111
1685319840,110
1685319870,110
1685319900,110
1685319930,96
1685320110,158
1685320140,114
1685320170,112
1685320200,112
1685320230,111
1685320260,112
1685320290,112
1685320320,111
1685320350,111
1685320380,111
1685320410,111
1685320440,112
1685320470,112
1685320500,111
1685320530,111
1685320560,112
1685320590,112
1685320620,112
1685320650,111
1685320680,112
1685320710,112
1685320740,111
1685320770,111
1685320800,111
1685320830,111
1685320860,111
1685320890,111
1685320920,111
1685320950,112
1685320980,113
1685321010,117
1685321040,116
1685321070,116
1685321100,115
1685321130,103
1685330370,141
1685330400,141
1685330430,94
1685330460,94
1685330490,95
1685330520,95
1685330550,96
1685330580,96
1685330610,96
1685330640,96
1685330670,97
1685330700,97
1685330730,96
1685330760,96
1685330790,97
1685330820,97
1685330850,97
1685330880,97
1685330910,97
1685330940,97
1685330970,98
1685331000,98
1685331030,97
1685331060,97
1685331090,97
1685331120,97
1685331150,97
1685331180,97
1685331210,97
1685331240,97
1685331270,98
1685331301,98
1685331331,116
1685331361,116
1685331391,115
1685331421,116
1685331451,116
1685331481,116
1685331511,116
1685331541,116
1685331571,117
1685331601,116
1685331631,115
1685331661,115
1685331691,115
1685331721,115
1685331751,115
1685331781,115
1685331811,115
1685331841,116
1685331871,117
1685331901,117
1685331931,116
1685331961,117
1685331991,117
1685332021,117
1685332051,117
1685332081,117
1685332111,117
1685332141,117
1685332171,118
1685332201,118
1685332231,117
1685332261,117
1685332291,117
